CMDLINE python3 python_programs/ChatGPT/longest_subsequence_with_limited_sum.py
MEM 0.218750 1745213881.6959
MEM 1.468750 1745213881.6972
MEM 4.984375 1745213881.6985
MEM 6.515625 1745213881.6998
MEM 7.296875 1745213881.7011
MEM 8.046875 1745213881.7024
MEM 8.375000 1745213881.7037
MEM 8.484375 1745213881.7049
MEM 8.796875 1745213881.7062
MEM 10.234375 1745213881.7075
MEM 10.406250 1745213881.7088
MEM 10.921875 1745213881.7101
MEM 11.140625 1745213881.7113
MEM 11.453125 1745213881.7126
MEM 11.781250 1745213881.7139
MEM 11.781250 1745213881.7152
