CMDLINE python3 python_programs/ChatGPT/maximum_running_time_of_n_computers.py
MEM 0.234375 1745213882.1532
MEM 1.453125 1745213882.1545
MEM 5.062500 1745213882.1558
MEM 6.515625 1745213882.1571
MEM 7.296875 1745213882.1584
MEM 8.046875 1745213882.1596
MEM 8.390625 1745213882.1609
MEM 8.484375 1745213882.1622
MEM 9.000000 1745213882.1635
MEM 10.000000 1745213882.1648
MEM 10.218750 1745213882.1660
MEM 10.484375 1745213882.1673
MEM 10.859375 1745213882.1686
MEM 10.984375 1745213882.1699
MEM 10.984375 1745213882.1711
