CMDLINE python3 python_programs/ChatGPT/maximum_xor_product.py
MEM 0.218750 1745213883.0415
MEM 1.453125 1745213883.0428
MEM 4.906250 1745213883.0441
MEM 6.515625 1745213883.0454
MEM 7.187500 1745213883.0467
MEM 7.859375 1745213883.0480
MEM 8.250000 1745213883.0492
MEM 8.296875 1745213883.0505
MEM 8.578125 1745213883.0518
MEM 9.625000 1745213883.0531
MEM 9.906250 1745213883.0543
MEM 9.937500 1745213883.0556
MEM 9.953125 1745213883.0569
MEM 10.328125 1745213883.0582
MEM 10.500000 1745213883.0594
MEM 10.500000 1745213883.0607
MEM 10.500000 1745213883.0620
MEM 10.500000 1745213883.0632
MEM 10.500000 1745213883.0645
MEM 10.500000 1745213883.0658
MEM 10.500000 1745213883.0670
MEM 10.500000 1745213883.0683
MEM 10.500000 1745213883.0696
MEM 10.500000 1745213883.0708
MEM 10.500000 1745213883.0721
MEM 10.500000 1745213883.0734
MEM 10.500000 1745213883.0747
MEM 10.500000 1745213883.0760
MEM 10.531250 1745213883.0773
MEM 10.531250 1745213883.0785
MEM 10.531250 1745213883.0798
MEM 10.531250 1745213883.0811
MEM 10.531250 1745213883.0824
MEM 10.531250 1745213883.0837
MEM 10.531250 1745213883.0849
MEM 10.531250 1745213883.0862
MEM 10.531250 1745213883.0875
MEM 10.531250 1745213883.0888
MEM 10.531250 1745213883.0900
MEM 10.531250 1745213883.0913
MEM 10.531250 1745213883.0926
MEM 10.531250 1745213883.0939
MEM 10.531250 1745213883.0952
MEM 10.531250 1745213883.0965
MEM 10.531250 1745213883.0977
MEM 10.531250 1745213883.0990
MEM 10.531250 1745213883.1003
MEM 10.531250 1745213883.1016
MEM 10.531250 1745213883.1028
MEM 10.531250 1745213883.1041
MEM 10.531250 1745213883.1054
MEM 10.531250 1745213883.1067
MEM 10.531250 1745213883.1080
MEM 10.531250 1745213883.1093
