CMDLINE python3 python_programs/ChatGPT/minimum_cost_of_buying_candies_with_discount.py
MEM 0.234375 1745213883.3187
MEM 1.453125 1745213883.3200
MEM 4.921875 1745213883.3213
MEM 6.515625 1745213883.3226
MEM 7.359375 1745213883.3239
MEM 8.109375 1745213883.3252
MEM 8.453125 1745213883.3264
MEM 8.531250 1745213883.3277
MEM 8.796875 1745213883.3290
MEM 10.562500 1745213883.3303
MEM 12.343750 1745213883.3316
MEM 13.625000 1745213883.3328
MEM 14.171875 1745213883.3341
MEM 14.453125 1745213883.3354
MEM 14.593750 1745213883.3367
MEM 14.593750 1745213883.3379
MEM 14.765625 1745213883.3392
MEM 14.812500 1745213883.3405
MEM 14.812500 1745213883.3417
