CMDLINE python3 python_programs/ChatGPT/minimum_number_of_arrows_to_burst_balloons.py
MEM 0.234375 1745213884.0071
MEM 1.453125 1745213884.0084
MEM 4.890625 1745213884.0097
MEM 6.515625 1745213884.0110
MEM 7.218750 1745213884.0123
MEM 7.875000 1745213884.0135
MEM 8.359375 1745213884.0148
MEM 8.484375 1745213884.0161
MEM 8.953125 1745213884.0174
MEM 10.593750 1745213884.0187
MEM 12.296875 1745213884.0199
MEM 13.578125 1745213884.0212
MEM 14.812500 1745213884.0225
MEM 17.046875 1745213884.0238
MEM 18.203125 1745213884.0250
MEM 19.375000 1745213884.0263
MEM 20.875000 1745213884.0276
MEM 24.218750 1745213884.0289
MEM 24.500000 1745213884.0302
MEM 26.531250 1745213884.0314
MEM 27.515625 1745213884.0327
MEM 27.734375 1745213884.0340
MEM 27.843750 1745213884.0353
MEM 27.921875 1745213884.0365
MEM 27.984375 1745213884.0378
MEM 28.062500 1745213884.0391
MEM 28.078125 1745213884.0404
MEM 27.078125 1745213884.0417
