CMDLINE python3 python_programs/ChatGPT/wiggle_subsequence.py
MEM 0.234375 1745213886.7485
MEM 1.453125 1745213886.7498
MEM 5.031250 1745213886.7511
MEM 6.515625 1745213886.7524
MEM 7.187500 1745213886.7537
MEM 7.859375 1745213886.7550
MEM 8.250000 1745213886.7563
MEM 8.296875 1745213886.7575
MEM 9.593750 1745213886.7588
MEM 9.812500 1745213886.7601
MEM 10.265625 1745213886.7614
MEM 10.500000 1745213886.7627
MEM 10.859375 1745213886.7639
MEM 11.078125 1745213886.7652
MEM 11.140625 1745213886.7665
