CMDLINE python3 python_programs/Claude/maximum_running_time_of_n_computers.py
MEM 0.234375 1745213818.4752
MEM 1.468750 1745213818.4765
MEM 5.078125 1745213818.4778
MEM 6.593750 1745213818.4791
MEM 7.312500 1745213818.4804
MEM 8.046875 1745213818.4817
MEM 8.390625 1745213818.4830
MEM 8.484375 1745213818.4842
MEM 9.000000 1745213818.4855
MEM 9.984375 1745213818.4868
MEM 10.203125 1745213818.4881
MEM 10.484375 1745213818.4893
MEM 10.875000 1745213818.4906
MEM 10.984375 1745213818.4919
MEM 10.984375 1745213818.4932
