CMDLINE python3 python_programs/Claude/maximum_strength_of_a_group.py
MEM 0.218750 1745213818.7043
MEM 1.468750 1745213818.7056
MEM 5.031250 1745213818.7069
MEM 6.531250 1745213818.7082
MEM 7.375000 1745213818.7095
MEM 8.125000 1745213818.7108
MEM 8.500000 1745213818.7121
MEM 8.546875 1745213818.7133
MEM 9.015625 1745213818.7146
MEM 9.984375 1745213818.7159
MEM 10.343750 1745213818.7172
MEM 10.703125 1745213818.7184
MEM 11.000000 1745213818.7197
MEM 11.390625 1745213818.7210
MEM 11.578125 1745213818.7223
MEM 11.578125 1745213818.7235
MEM 11.578125 1745213818.7248
MEM 11.578125 1745213818.7261
MEM 11.578125 1745213818.7273
MEM 11.578125 1745213818.7286
MEM 11.578125 1745213818.7299
MEM 11.578125 1745213818.7311
MEM 11.578125 1745213818.7324
MEM 11.578125 1745213818.7337
MEM 11.578125 1745213818.7350
MEM 11.578125 1745213818.7362
MEM 11.578125 1745213818.7375
MEM 11.578125 1745213818.7388
MEM 11.578125 1745213818.7401
MEM 11.578125 1745213818.7414
MEM 11.578125 1745213818.7426
MEM 11.578125 1745213818.7439
MEM 11.578125 1745213818.7452
MEM 11.578125 1745213818.7465
MEM 11.578125 1745213818.7478
MEM 11.578125 1745213818.7491
MEM 11.578125 1745213818.7503
MEM 11.578125 1745213818.7516
MEM 11.578125 1745213818.7529
MEM 11.578125 1745213818.7542
MEM 11.578125 1745213818.7554
MEM 11.578125 1745213818.7567
MEM 11.578125 1745213818.7580
MEM 11.578125 1745213818.7593
MEM 11.578125 1745213818.7606
MEM 11.578125 1745213818.7618
MEM 11.578125 1745213818.7631
MEM 11.578125 1745213818.7644
MEM 11.578125 1745213818.7657
MEM 11.578125 1745213818.7669
MEM 11.578125 1745213818.7682
MEM 11.578125 1745213818.7695
MEM 11.578125 1745213818.7708
MEM 11.578125 1745213818.7721
MEM 11.578125 1745213818.7734
MEM 11.578125 1745213818.7746
MEM 11.578125 1745213818.7759
MEM 11.578125 1745213818.7772
MEM 11.578125 1745213818.7785
MEM 11.578125 1745213818.7798
MEM 11.578125 1745213818.7810
MEM 11.578125 1745213818.7823
MEM 11.578125 1745213818.7836
MEM 11.578125 1745213818.7849
MEM 11.578125 1745213818.7862
MEM 11.578125 1745213818.7874
MEM 11.578125 1745213818.7887
MEM 11.578125 1745213818.7900
MEM 11.578125 1745213818.7913
MEM 11.578125 1745213818.7925
MEM 11.578125 1745213818.7938
MEM 11.578125 1745213818.7951
MEM 11.578125 1745213818.7964
MEM 11.578125 1745213818.7977
MEM 11.578125 1745213818.7989
MEM 11.578125 1745213818.8002
MEM 11.578125 1745213818.8015
MEM 11.578125 1745213818.8028
MEM 11.578125 1745213818.8040
MEM 11.578125 1745213818.8053
MEM 11.578125 1745213818.8066
MEM 11.578125 1745213818.8079
MEM 11.578125 1745213818.8091
MEM 11.578125 1745213818.8104
MEM 11.578125 1745213818.8117
MEM 11.578125 1745213818.8130
MEM 11.578125 1745213818.8142
MEM 11.578125 1745213818.8155
MEM 11.578125 1745213818.8168
MEM 11.578125 1745213818.8181
MEM 11.578125 1745213818.8193
MEM 11.578125 1745213818.8206
MEM 11.578125 1745213818.8219
MEM 11.578125 1745213818.8232
MEM 11.578125 1745213818.8244
MEM 11.578125 1745213818.8257
MEM 11.578125 1745213818.8270
MEM 11.578125 1745213818.8283
MEM 11.578125 1745213818.8296
MEM 11.578125 1745213818.8308
MEM 11.578125 1745213818.8321
MEM 11.578125 1745213818.8334
MEM 11.578125 1745213818.8347
MEM 11.578125 1745213818.8360
MEM 11.578125 1745213818.8372
MEM 11.578125 1745213818.8385
MEM 11.578125 1745213818.8398
MEM 11.578125 1745213818.8411
MEM 11.578125 1745213818.8423
MEM 11.578125 1745213818.8436
MEM 11.578125 1745213818.8449
MEM 11.578125 1745213818.8462
MEM 11.578125 1745213818.8474
MEM 11.578125 1745213818.8487
MEM 11.578125 1745213818.8500
MEM 11.578125 1745213818.8513
MEM 11.578125 1745213818.8526
MEM 11.578125 1745213818.8538
MEM 11.578125 1745213818.8551
MEM 11.578125 1745213818.8564
MEM 11.578125 1745213818.8577
MEM 11.578125 1745213818.8589
MEM 11.578125 1745213818.8602
MEM 11.578125 1745213818.8615
MEM 11.578125 1745213818.8628
MEM 11.578125 1745213818.8641
MEM 11.578125 1745213818.8653
MEM 11.578125 1745213818.8666
MEM 11.578125 1745213818.8679
MEM 11.578125 1745213818.8692
MEM 11.578125 1745213818.8704
MEM 11.578125 1745213818.8717
MEM 11.578125 1745213818.8730
MEM 11.578125 1745213818.8743
MEM 11.578125 1745213818.8755
MEM 11.578125 1745213818.8768
MEM 11.578125 1745213818.8781
MEM 11.578125 1745213818.8794
MEM 11.578125 1745213818.8807
MEM 11.578125 1745213818.8819
MEM 11.578125 1745213818.8832
MEM 11.578125 1745213818.8845
MEM 11.578125 1745213818.8858
MEM 11.578125 1745213818.8870
MEM 11.578125 1745213818.8883
MEM 11.578125 1745213818.8896
MEM 11.578125 1745213818.8909
MEM 11.578125 1745213818.8921
MEM 11.578125 1745213818.8934
MEM 11.578125 1745213818.8947
MEM 11.578125 1745213818.8960
MEM 11.578125 1745213818.8973
MEM 11.578125 1745213818.8985
MEM 11.578125 1745213818.8998
MEM 11.578125 1745213818.9011
MEM 11.578125 1745213818.9024
MEM 11.578125 1745213818.9037
MEM 11.578125 1745213818.9049
MEM 11.578125 1745213818.9062
MEM 11.578125 1745213818.9075
MEM 11.578125 1745213818.9088
MEM 11.578125 1745213818.9101
MEM 11.578125 1745213818.9113
MEM 11.578125 1745213818.9126
MEM 11.578125 1745213818.9139
MEM 11.578125 1745213818.9152
MEM 11.578125 1745213818.9164
MEM 11.578125 1745213818.9177
MEM 11.578125 1745213818.9190
MEM 11.578125 1745213818.9203
MEM 11.578125 1745213818.9215
MEM 11.578125 1745213818.9228
MEM 11.578125 1745213818.9241
MEM 11.578125 1745213818.9254
MEM 11.578125 1745213818.9267
MEM 11.578125 1745213818.9279
MEM 11.578125 1745213818.9292
MEM 11.578125 1745213818.9305
MEM 11.578125 1745213818.9318
MEM 11.578125 1745213818.9330
MEM 11.578125 1745213818.9343
MEM 11.578125 1745213818.9356
MEM 11.578125 1745213818.9369
MEM 11.578125 1745213818.9381
MEM 11.578125 1745213818.9394
MEM 11.578125 1745213818.9407
MEM 11.578125 1745213818.9420
MEM 11.578125 1745213818.9433
MEM 11.578125 1745213818.9445
MEM 11.578125 1745213818.9458
MEM 11.578125 1745213818.9471
MEM 11.578125 1745213818.9484
MEM 11.578125 1745213818.9496
MEM 11.578125 1745213818.9509
MEM 11.578125 1745213818.9522
MEM 11.578125 1745213818.9535
MEM 11.578125 1745213818.9548
MEM 11.578125 1745213818.9560
MEM 11.578125 1745213818.9573
MEM 11.578125 1745213818.9586
MEM 11.578125 1745213818.9599
MEM 11.578125 1745213818.9611
MEM 11.578125 1745213818.9624
MEM 11.578125 1745213818.9637
MEM 11.578125 1745213818.9650
MEM 11.578125 1745213818.9663
MEM 11.578125 1745213818.9675
MEM 11.578125 1745213818.9688
MEM 11.578125 1745213818.9701
MEM 11.578125 1745213818.9713
MEM 11.578125 1745213818.9726
MEM 11.578125 1745213818.9739
MEM 11.578125 1745213818.9752
MEM 11.578125 1745213818.9765
MEM 11.578125 1745213818.9777
MEM 11.578125 1745213818.9790
MEM 11.578125 1745213818.9803
MEM 11.578125 1745213818.9816
MEM 11.578125 1745213818.9828
