CMDLINE python3 python_programs/Claude/minimum_cost_of_buying_candies_with_discount.py
MEM 0.218750 1745213819.6415
MEM 1.453125 1745213819.6428
MEM 4.890625 1745213819.6441
MEM 6.515625 1745213819.6454
MEM 7.218750 1745213819.6467
MEM 7.921875 1745213819.6480
MEM 8.359375 1745213819.6492
MEM 8.484375 1745213819.6505
MEM 8.546875 1745213819.6518
MEM 10.093750 1745213819.6531
MEM 11.734375 1745213819.6544
MEM 13.421875 1745213819.6556
MEM 14.062500 1745213819.6569
MEM 14.406250 1745213819.6582
MEM 14.406250 1745213819.6595
