CMDLINE python3 python_programs/Claude/minimum_number_of_arrows_to_burst_balloons.py
MEM 0.234375 1745213820.3189
MEM 1.453125 1745213820.3202
MEM 5.015625 1745213820.3216
MEM 6.515625 1745213820.3228
MEM 7.359375 1745213820.3241
MEM 8.109375 1745213820.3254
MEM 8.484375 1745213820.3267
MEM 8.531250 1745213820.3280
MEM 8.906250 1745213820.3292
MEM 10.546875 1745213820.3305
MEM 12.062500 1745213820.3318
MEM 13.609375 1745213820.3331
MEM 14.843750 1745213820.3343
MEM 17.093750 1745213820.3356
MEM 18.203125 1745213820.3369
MEM 18.578125 1745213820.3382
MEM 20.015625 1745213820.3394
MEM 21.218750 1745213820.3407
MEM 24.515625 1745213820.3420
MEM 24.546875 1745213820.3432
MEM 26.578125 1745213820.3445
MEM 27.515625 1745213820.3458
MEM 27.750000 1745213820.3471
MEM 27.890625 1745213820.3483
MEM 27.953125 1745213820.3496
MEM 28.031250 1745213820.3509
MEM 28.109375 1745213820.3522
MEM 28.125000 1745213820.3534
MEM 27.125000 1745213820.3547
