CMDLINE python3 python_programs/Claude/the_number_of_weak_characters_in_the_game.py
MEM 0.218750 1745213822.8048
MEM 1.453125 1745213822.8061
MEM 5.109375 1745213822.8074
MEM 6.593750 1745213822.8087
MEM 7.328125 1745213822.8099
MEM 8.046875 1745213822.8112
MEM 8.421875 1745213822.8125
MEM 8.531250 1745213822.8138
MEM 9.828125 1745213822.8150
MEM 11.265625 1745213822.8163
MEM 13.078125 1745213822.8176
MEM 14.218750 1745213822.8189
MEM 16.375000 1745213822.8201
MEM 17.484375 1745213822.8214
MEM 18.578125 1745213822.8227
MEM 20.046875 1745213822.8240
MEM 21.203125 1745213822.8253
MEM 24.109375 1745213822.8265
MEM 25.062500 1745213822.8278
MEM 27.125000 1745213822.8291
MEM 27.125000 1745213822.8304
MEM 27.203125 1745213822.8317
MEM 27.296875 1745213822.8330
MEM 27.421875 1745213822.8342
MEM 27.437500 1745213822.8355
MEM 27.468750 1745213822.8368
