CMDLINE python3 python_programs/Gemini/average_height_of_buildings_in_each_segment.py
MEM 0.234375 1745213937.2461
MEM 1.468750 1745213937.2474
MEM 4.968750 1745213937.2487
MEM 6.515625 1745213937.2500
MEM 7.375000 1745213937.2513
MEM 8.109375 1745213937.2525
MEM 8.484375 1745213937.2538
MEM 8.531250 1745213937.2551
MEM 8.546875 1745213937.2564
MEM 9.843750 1745213937.2577
MEM 11.203125 1745213937.2589
MEM 11.796875 1745213937.2602
MEM 12.046875 1745213937.2615
MEM 12.250000 1745213937.2628
MEM 12.515625 1745213937.2640
MEM 12.859375 1745213937.2653
MEM 12.906250 1745213937.2666
