CMDLINE python3 python_programs/Gemini/maximum_strength_of_a_group.py
MEM 0.218750 1745213939.4847
MEM 1.468750 1745213939.4860
MEM 5.000000 1745213939.4873
MEM 6.531250 1745213939.4886
MEM 7.312500 1745213939.4899
MEM 8.062500 1745213939.4911
MEM 8.406250 1745213939.4924
MEM 8.500000 1745213939.4937
MEM 8.953125 1745213939.4950
MEM 9.937500 1745213939.4963
MEM 10.281250 1745213939.4975
MEM 10.640625 1745213939.4988
MEM 10.953125 1745213939.5001
MEM 11.328125 1745213939.5014
MEM 11.531250 1745213939.5026
MEM 11.546875 1745213939.5039
