CMDLINE python3 python_programs/Gemini/minimum_cost_of_buying_candies_with_discount.py
MEM 0.234375 1745213940.1653
MEM 1.453125 1745213940.1666
MEM 5.062500 1745213940.1679
MEM 6.546875 1745213940.1692
MEM 7.312500 1745213940.1704
MEM 8.046875 1745213940.1717
MEM 8.390625 1745213940.1730
MEM 8.484375 1745213940.1743
MEM 9.093750 1745213940.1756
MEM 10.703125 1745213940.1769
MEM 12.515625 1745213940.1781
MEM 13.671875 1745213940.1794
MEM 14.125000 1745213940.1807
MEM 14.390625 1745213940.1820
MEM 14.390625 1745213940.1832
