CMDLINE python3 python_programs/Gemini/minimum_cost_to_move_chips_to_the_same_position.py
MEM 0.234375 1745213940.6164
MEM 1.453125 1745213940.6178
MEM 4.984375 1745213940.6191
MEM 6.515625 1745213940.6203
MEM 7.187500 1745213940.6216
MEM 7.859375 1745213940.6229
MEM 8.250000 1745213940.6242
MEM 8.296875 1745213940.6255
MEM 8.750000 1745213940.6267
MEM 9.625000 1745213940.6280
MEM 10.062500 1745213940.6293
MEM 10.281250 1745213940.6306
MEM 10.562500 1745213940.6318
MEM 10.984375 1745213940.6331
MEM 11.046875 1745213940.6344
MEM 11.046875 1745213940.6357
