CMDLINE python3 python_programs/Gemini/minimum_number_of_arrows_to_burst_balloons.py
MEM 0.234375 1745213940.8474
MEM 1.453125 1745213940.8487
MEM 5.031250 1745213940.8500
MEM 6.515625 1745213940.8513
MEM 7.359375 1745213940.8526
MEM 8.109375 1745213940.8539
MEM 8.453125 1745213940.8552
MEM 8.531250 1745213940.8564
MEM 9.625000 1745213940.8577
MEM 11.046875 1745213940.8590
MEM 12.906250 1745213940.8603
MEM 14.125000 1745213940.8615
MEM 16.390625 1745213940.8628
MEM 17.546875 1745213940.8641
MEM 18.734375 1745213940.8653
MEM 20.218750 1745213940.8666
MEM 21.765625 1745213940.8679
MEM 24.515625 1745213940.8692
MEM 25.500000 1745213940.8704
MEM 27.484375 1745213940.8717
MEM 27.593750 1745213940.8730
MEM 27.859375 1745213940.8742
MEM 27.906250 1745213940.8755
MEM 27.984375 1745213940.8768
MEM 28.109375 1745213940.8781
MEM 28.125000 1745213940.8793
MEM 27.125000 1745213940.8806
MEM 27.125000 1745213940.8819
