CMDLINE python3 python_programs/Gemini/the_number_of_weak_characters_in_the_game.py
MEM 0.234375 1745213943.3245
MEM 1.453125 1745213943.3259
MEM 5.046875 1745213943.3272
MEM 6.515625 1745213943.3285
MEM 7.296875 1745213943.3297
MEM 8.046875 1745213943.3310
MEM 8.390625 1745213943.3323
MEM 8.484375 1745213943.3336
MEM 9.484375 1745213943.3349
MEM 10.890625 1745213943.3361
MEM 12.562500 1745213943.3374
MEM 13.828125 1745213943.3387
MEM 14.984375 1745213943.3400
MEM 17.171875 1745213943.3412
MEM 18.281250 1745213943.3425
MEM 19.718750 1745213943.3438
MEM 20.890625 1745213943.3451
MEM 21.578125 1745213943.3463
MEM 23.640625 1745213943.3476
MEM 24.609375 1745213943.3489
MEM 24.671875 1745213943.3502
MEM 24.765625 1745213943.3514
MEM 24.875000 1745213943.3527
MEM 24.906250 1745213943.3540
MEM 24.906250 1745213943.3553
MEM 24.906250 1745213943.3565
