CMDLINE python3 python_programs/Gemini/wiggle_subsequence.py
MEM 0.234375 1745213943.5667
MEM 1.468750 1745213943.5681
MEM 5.000000 1745213943.5694
MEM 6.515625 1745213943.5707
MEM 7.234375 1745213943.5719
MEM 7.875000 1745213943.5732
MEM 8.328125 1745213943.5745
MEM 8.484375 1745213943.5758
MEM 9.296875 1745213943.5770
MEM 9.921875 1745213943.5783
MEM 10.359375 1745213943.5796
MEM 10.625000 1745213943.5809
MEM 10.906250 1745213943.5822
MEM 11.296875 1745213943.5834
MEM 11.359375 1745213943.5847
MEM 11.359375 1745213943.5860
