CMDLINE python3 python_programs/generated_solutions/lemonade_change.py
MEM 0.234375 1745213996.9612
MEM 1.453125 1745213996.9625
MEM 5.000000 1745213996.9639
MEM 6.531250 1745213996.9651
MEM 7.312500 1745213996.9664
MEM 8.062500 1745213996.9677
MEM 8.406250 1745213996.9690
MEM 8.500000 1745213996.9703
MEM 9.500000 1745213996.9715
MEM 10.953125 1745213996.9728
MEM 12.734375 1745213996.9741
MEM 13.312500 1745213996.9754
MEM 13.656250 1745213996.9766
MEM 13.812500 1745213996.9779
MEM 13.875000 1745213996.9792
MEM 13.984375 1745213996.9805
MEM 14.093750 1745213996.9818
MEM 14.093750 1745213996.9830
