CMDLINE python3 python_programs/generated_solutions/maximum_running_time_of_n_computers.py
MEM 0.234375 1745213998.0909
MEM 1.500000 1745213998.0923
MEM 5.187500 1745213998.0936
MEM 6.593750 1745213998.0949
MEM 7.328125 1745213998.0961
MEM 8.046875 1745213998.0974
MEM 8.421875 1745213998.0987
MEM 8.484375 1745213998.1000
MEM 8.968750 1745213998.1013
MEM 9.906250 1745213998.1025
MEM 10.234375 1745213998.1038
MEM 10.593750 1745213998.1051
MEM 10.906250 1745213998.1064
MEM 11.296875 1745213998.1076
MEM 11.484375 1745213998.1089
MEM 11.484375 1745213998.1102
MEM 11.484375 1745213998.1115
MEM 11.484375 1745213998.1128
MEM 11.484375 1745213998.1140
