CMDLINE python3 python_programs/generated_solutions/maximum_strength_of_a_group.py
MEM 0.234375 1745213998.3239
MEM 1.453125 1745213998.3252
MEM 5.125000 1745213998.3265
MEM 6.546875 1745213998.3278
MEM 7.203125 1745213998.3291
MEM 7.859375 1745213998.3303
MEM 8.250000 1745213998.3316
MEM 8.296875 1745213998.3329
MEM 9.015625 1745213998.3342
MEM 9.781250 1745213998.3355
MEM 10.187500 1745213998.3367
MEM 10.453125 1745213998.3380
MEM 10.750000 1745213998.3393
MEM 11.171875 1745213998.3406
MEM 11.265625 1745213998.3418
MEM 11.265625 1745213998.3431
