CMDLINE python3 python_programs/generated_solutions/maximum_total_beauty_of_the_gardens.py
MEM 0.218750 1745213998.5522
MEM 1.453125 1745213998.5536
MEM 4.921875 1745213998.5549
MEM 6.515625 1745213998.5562
MEM 7.187500 1745213998.5575
MEM 7.859375 1745213998.5588
MEM 8.250000 1745213998.5600
MEM 8.296875 1745213998.5613
MEM 8.812500 1745213998.5626
MEM 9.953125 1745213998.5639
MEM 10.203125 1745213998.5651
MEM 10.625000 1745213998.5664
MEM 10.875000 1745213998.5677
MEM 11.234375 1745213998.5689
MEM 11.453125 1745213998.5702
MEM 11.531250 1745213998.5715
MEM 11.531250 1745213998.5728
