CMDLINE python3 python_programs/generated_solutions/minimum_cost_of_buying_candies_with_discount.py
MEM 0.234375 1745213999.0075
MEM 1.453125 1745213999.0088
MEM 5.062500 1745213999.0101
MEM 6.546875 1745213999.0114
MEM 7.218750 1745213999.0127
MEM 7.859375 1745213999.0140
MEM 8.250000 1745213999.0152
MEM 8.296875 1745213999.0165
MEM 8.828125 1745213999.0178
MEM 10.484375 1745213999.0191
MEM 12.359375 1745213999.0204
MEM 13.703125 1745213999.0216
MEM 14.078125 1745213999.0229
MEM 14.328125 1745213999.0242
