CMDLINE python3 python_programs/generated_solutions/minimum_cost_to_move_chips_to_the_same_position.py
MEM 0.234375 1745213999.4662
MEM 1.453125 1745213999.4675
MEM 4.984375 1745213999.4688
MEM 6.515625 1745213999.4701
MEM 7.250000 1745213999.4714
MEM 7.656250 1745213999.4727
MEM 8.312500 1745213999.4740
MEM 8.484375 1745213999.4752
MEM 8.781250 1745213999.4765
MEM 9.812500 1745213999.4778
MEM 10.093750 1745213999.4791
MEM 10.453125 1745213999.4804
MEM 10.765625 1745213999.4816
MEM 11.109375 1745213999.4829
MEM 11.281250 1745213999.4842
MEM 11.281250 1745213999.4855
