CMDLINE python3 python_programs/generated_solutions/minimum_number_of_arrows_to_burst_balloons.py
MEM 0.234375 1745213999.6986
MEM 1.453125 1745213999.6999
MEM 5.062500 1745213999.7012
MEM 6.515625 1745213999.7025
MEM 7.312500 1745213999.7038
MEM 8.046875 1745213999.7050
MEM 8.359375 1745213999.7063
MEM 8.484375 1745213999.7076
MEM 9.390625 1745213999.7089
MEM 10.890625 1745213999.7102
MEM 12.593750 1745213999.7114
MEM 13.890625 1745213999.7127
MEM 16.125000 1745213999.7140
MEM 17.328125 1745213999.7153
MEM 18.468750 1745213999.7165
MEM 19.937500 1745213999.7178
MEM 21.171875 1745213999.7191
MEM 24.453125 1745213999.7204
MEM 24.781250 1745213999.7216
MEM 27.281250 1745213999.7229
MEM 27.546875 1745213999.7242
MEM 27.796875 1745213999.7255
MEM 27.843750 1745213999.7268
MEM 27.937500 1745213999.7280
MEM 28.046875 1745213999.7293
MEM 28.078125 1745213999.7306
MEM 27.093750 1745213999.7319
MEM 27.093750 1745213999.7331
