CMDLINE python3 python_programs/generated_solutions/minimum_operations_to_make_a_subsequence.py
MEM 0.234375 1745214000.1715
MEM 1.468750 1745214000.1728
MEM 4.984375 1745214000.1741
MEM 6.515625 1745214000.1754
MEM 7.187500 1745214000.1767
MEM 7.859375 1745214000.1780
MEM 8.250000 1745214000.1793
MEM 8.296875 1745214000.1806
MEM 8.968750 1745214000.1818
MEM 10.453125 1745214000.1831
MEM 10.781250 1745214000.1844
MEM 11.140625 1745214000.1857
MEM 11.250000 1745214000.1869
MEM 11.656250 1745214000.1882
MEM 11.921875 1745214000.1895
MEM 12.000000 1745214000.1908
MEM 12.000000 1745214000.1921
MEM 12.000000 1745214000.1933
MEM 12.000000 1745214000.1946
