CMDLINE python3 python_programs/generated_solutions/minimum_replacements_to_sort_the_array.py
MEM 0.234375 1745214000.6292
MEM 1.453125 1745214000.6305
MEM 5.046875 1745214000.6318
MEM 6.515625 1745214000.6331
MEM 7.296875 1745214000.6344
MEM 8.046875 1745214000.6357
MEM 8.390625 1745214000.6369
MEM 8.484375 1745214000.6382
MEM 9.484375 1745214000.6395
MEM 9.906250 1745214000.6408
MEM 10.328125 1745214000.6421
MEM 10.656250 1745214000.6433
MEM 10.968750 1745214000.6446
MEM 11.296875 1745214000.6459
MEM 11.343750 1745214000.6472
MEM 11.343750 1745214000.6485
