CMDLINE python3 python_programs/generated_solutions/smallest_range_covering_elements_from_k_lists.py
MEM 0.234375 1745214001.0839
MEM 1.453125 1745214001.0852
MEM 5.109375 1745214001.0866
MEM 6.593750 1745214001.0878
MEM 7.312500 1745214001.0891
MEM 8.046875 1745214001.0904
MEM 8.421875 1745214001.0917
MEM 8.484375 1745214001.0929
MEM 8.765625 1745214001.0944
MEM 10.140625 1745214001.0957
MEM 11.562500 1745214001.0970
MEM 11.781250 1745214001.0982
MEM 12.000000 1745214001.0995
MEM 12.234375 1745214001.1008
MEM 12.234375 1745214001.1021
MEM 12.234375 1745214001.1033
MEM 12.234375 1745214001.1046
