CMDLINE python3 python_programs/generated_solutions/stamping_the_grid.py
MEM 0.218750 1745214001.7606
MEM 1.453125 1745214001.7619
MEM 4.937500 1745214001.7632
MEM 6.531250 1745214001.7645
MEM 7.312500 1745214001.7658
MEM 8.062500 1745214001.7670
MEM 8.406250 1745214001.7683
MEM 8.500000 1745214001.7696
MEM 9.484375 1745214001.7709
MEM 10.890625 1745214001.7721
MEM 12.609375 1745214001.7734
MEM 13.390625 1745214001.7747
MEM 13.578125 1745214001.7760
MEM 13.734375 1745214001.7773
MEM 13.812500 1745214001.7785
MEM 13.890625 1745214001.7798
MEM 14.109375 1745214001.7811
MEM 14.125000 1745214001.7824
MEM 14.125000 1745214001.7836
MEM 14.140625 1745214001.7849
MEM 14.140625 1745214001.7862
MEM 14.140625 1745214001.7875
