CMDLINE python3 python_programs/generated_solutions/super_washing_machines.py
MEM 0.234375 1745214001.9978
MEM 1.453125 1745214001.9991
MEM 5.125000 1745214002.0004
MEM 6.593750 1745214002.0017
MEM 7.312500 1745214002.0030
MEM 8.046875 1745214002.0043
MEM 8.390625 1745214002.0056
MEM 8.484375 1745214002.0068
MEM 9.515625 1745214002.0081
MEM 10.093750 1745214002.0094
MEM 10.546875 1745214002.0107
MEM 10.828125 1745214002.0119
MEM 11.093750 1745214002.0132
MEM 11.515625 1745214002.0145
MEM 11.609375 1745214002.0158
MEM 11.609375 1745214002.0170
