CMDLINE python3 python_programs/generated_solutions/the_number_of_weak_characters_in_the_game.py
MEM 0.234375 1745214002.2296
MEM 1.453125 1745214002.2309
MEM 5.093750 1745214002.2322
MEM 6.515625 1745214002.2335
MEM 7.296875 1745214002.2348
MEM 8.046875 1745214002.2360
MEM 8.390625 1745214002.2373
MEM 8.484375 1745214002.2386
MEM 9.421875 1745214002.2399
MEM 10.890625 1745214002.2412
MEM 12.578125 1745214002.2424
MEM 13.843750 1745214002.2437
MEM 15.109375 1745214002.2450
MEM 17.187500 1745214002.2463
MEM 18.328125 1745214002.2475
MEM 19.765625 1745214002.2488
MEM 20.937500 1745214002.2501
MEM 21.609375 1745214002.2514
MEM 23.640625 1745214002.2526
MEM 24.593750 1745214002.2539
MEM 24.656250 1745214002.2552
MEM 24.750000 1745214002.2565
MEM 24.859375 1745214002.2577
MEM 24.890625 1745214002.2590
MEM 24.890625 1745214002.2603
