CMDLINE python3 python_programs/generated_solutions/wiggle_subsequence.py
MEM 0.234375 1745214002.4723
MEM 1.468750 1745214002.4736
MEM 5.078125 1745214002.4750
MEM 6.562500 1745214002.4763
MEM 7.328125 1745214002.4775
MEM 8.062500 1745214002.4788
MEM 8.406250 1745214002.4801
MEM 8.500000 1745214002.4814
MEM 9.000000 1745214002.4826
MEM 9.875000 1745214002.4839
MEM 10.296875 1745214002.4852
MEM 10.578125 1745214002.4865
MEM 10.875000 1745214002.4878
MEM 11.265625 1745214002.4890
MEM 11.375000 1745214002.4903
MEM 11.375000 1745214002.4916
