CMDLINE python3 python_programs/generated_solutions/word_abbreviation.py
MEM 0.234375 1745214002.7015
MEM 1.453125 1745214002.7028
MEM 5.093750 1745214002.7041
MEM 6.625000 1745214002.7054
MEM 7.390625 1745214002.7067
MEM 8.125000 1745214002.7080
MEM 8.500000 1745214002.7093
MEM 8.546875 1745214002.7105
MEM 8.875000 1745214002.7118
MEM 10.109375 1745214002.7131
MEM 10.531250 1745214002.7144
MEM 11.015625 1745214002.7156
MEM 11.328125 1745214002.7169
MEM 11.640625 1745214002.7182
MEM 11.953125 1745214002.7195
MEM 12.031250 1745214002.7207
MEM 12.031250 1745214002.7220
MEM 12.046875 1745214002.7233
MEM 12.046875 1745214002.7246
MEM 12.046875 1745214002.7258
MEM 12.046875 1745214002.7271
MEM 12.062500 1745214002.7284
