CMDLINE python3 python_programs/Canonical_solutions/average_height_of_buildings_in_each_segment.py
MEM 0.234375 1745203292.1729
MEM 8.765625 1745203292.1994
MEM 11.937500 1745203292.2244
MEM 11.937500 1745203292.2517
MEM 11.937500 1745203292.2771
MEM 11.937500 1745203292.3083
MEM 12.718750 1745203292.3314
MEM 12.718750 1745203292.3536
MEM 12.718750 1745203292.3750
MEM 12.718750 1745203292.3959
MEM 12.718750 1745203292.4175
MEM 12.718750 1745203292.4382
MEM 12.718750 1745203292.4587
MEM 12.718750 1745203292.4794
MEM 12.718750 1745203292.5004
MEM 12.718750 1745203292.5212
MEM 12.718750 1745203292.5421
MEM 12.718750 1745203292.5639
MEM 12.718750 1745203292.5876
MEM 12.718750 1745203292.6089
MEM 12.718750 1745203292.6299
MEM 12.718750 1745203292.6507
MEM 12.718750 1745203292.6713
MEM 12.718750 1745203292.6926
MEM 12.718750 1745203292.7132
MEM 12.718750 1745203292.7349
MEM 12.718750 1745203292.7566
MEM 12.718750 1745203292.7777
MEM 12.718750 1745203292.7993
MEM 12.718750 1745203292.8205
MEM 12.718750 1745203292.8415
MEM 12.718750 1745203292.8624
MEM 12.718750 1745203292.8834
MEM 12.718750 1745203292.9058
MEM 12.718750 1745203292.9265
MEM 12.718750 1745203292.9475
MEM 12.718750 1745203292.9694
MEM 12.718750 1745203292.9903
MEM 12.718750 1745203293.0108
MEM 12.718750 1745203293.0315
MEM 12.718750 1745203293.0521
MEM 12.718750 1745203293.0723
MEM 12.718750 1745203293.0928
MEM 12.718750 1745203293.1140
MEM 12.718750 1745203293.1352
MEM 12.718750 1745203293.1569
MEM 12.718750 1745203293.1777
MEM 12.718750 1745203293.1989
MEM 12.718750 1745203293.2206
MEM 12.718750 1745203293.2417
MEM 12.718750 1745203293.2626
MEM 12.718750 1745203293.2826
MEM 12.718750 1745203293.3033
MEM 12.718750 1745203293.3243
MEM 12.718750 1745203293.3452
MEM 12.718750 1745203293.3661
MEM 12.718750 1745203293.3873
MEM 12.718750 1745203293.4083
MEM 12.718750 1745203293.4309
MEM 12.718750 1745203293.4521
MEM 12.718750 1745203293.4731
MEM 12.718750 1745203293.4943
MEM 12.718750 1745203293.5159
MEM 12.718750 1745203293.5366
MEM 12.718750 1745203293.5572
MEM 12.718750 1745203293.5777
MEM 12.718750 1745203293.5995
MEM 12.718750 1745203293.6213
MEM 12.718750 1745203293.6420
MEM 12.718750 1745203293.6630
MEM 12.718750 1745203293.6831
MEM 12.718750 1745203293.7036
MEM 12.718750 1745203293.7251
MEM 12.718750 1745203293.7461
MEM 12.718750 1745203293.7659
MEM 12.718750 1745203293.7846
MEM 12.718750 1745203293.8040
MEM 12.718750 1745203293.8208
MEM 12.718750 1745203293.8330
