CMDLINE python3 python_programs/Canonical_solutions/lexicographically_smallest_string_after_substring_operation.py
MEM 3.609375 1745203287.2699
MEM 8.281250 1745203287.3007
MEM 9.625000 1745203287.3314
MEM 9.625000 1745203287.3817
MEM 10.343750 1745203287.4314
MEM 10.343750 1745203287.4771
MEM 10.343750 1745203287.5087
MEM 10.343750 1745203287.5832
MEM 10.343750 1745203287.6382
MEM 10.343750 1745203287.6778
MEM 10.343750 1745203287.7195
MEM 10.343750 1745203287.7477
MEM 10.343750 1745203287.7762
MEM 10.343750 1745203287.8049
MEM 10.343750 1745203287.8337
MEM 10.343750 1745203287.8841
MEM 10.343750 1745203287.9466
MEM 10.343750 1745203287.9884
MEM 10.343750 1745203288.0237
MEM 10.343750 1745203288.0620
MEM 10.343750 1745203288.1048
MEM 10.343750 1745203288.1530
MEM 10.343750 1745203288.1904
MEM 10.343750 1745203288.2236
MEM 10.343750 1745203288.2843
MEM 10.343750 1745203288.3239
MEM 10.343750 1745203288.3542
MEM 10.343750 1745203288.3938
MEM 10.343750 1745203288.4289
MEM 10.343750 1745203288.4689
MEM 10.343750 1745203288.5137
MEM 10.343750 1745203288.5597
MEM 10.343750 1745203288.6008
MEM 10.343750 1745203288.6277
MEM 10.343750 1745203288.6554
MEM 10.343750 1745203288.6847
MEM 10.343750 1745203288.7130
MEM 10.343750 1745203288.7907
MEM 10.343750 1745203288.8488
MEM 10.343750 1745203288.8897
MEM 10.343750 1745203288.9142
MEM 10.343750 1745203288.9451
MEM 10.343750 1745203288.9712
MEM 10.343750 1745203289.0094
MEM 10.343750 1745203289.0313
MEM 10.343750 1745203289.0522
MEM 10.343750 1745203289.0697
MEM 10.343750 1745203289.0871
MEM 10.343750 1745203289.1049
MEM 10.343750 1745203289.1229
MEM 10.343750 1745203289.1404
MEM 10.343750 1745203289.1573
MEM 10.343750 1745203289.1751
MEM 10.343750 1745203289.1925
MEM 10.343750 1745203289.2101
MEM 10.343750 1745203289.2265
MEM 10.343750 1745203289.2512
MEM 10.343750 1745203289.2715
MEM 10.343750 1745203289.2900
MEM 10.343750 1745203289.3074
MEM 10.343750 1745203289.3255
MEM 10.343750 1745203289.3437
MEM 10.343750 1745203289.3612
MEM 10.343750 1745203289.3796
MEM 10.343750 1745203289.3974
MEM 10.343750 1745203289.4146
MEM 10.343750 1745203289.4327
MEM 10.343750 1745203289.4503
MEM 10.343750 1745203289.4683
MEM 10.343750 1745203289.4863
MEM 10.343750 1745203289.5040
MEM 10.343750 1745203289.5223
MEM 10.343750 1745203289.5402
MEM 10.343750 1745203289.5585
MEM 10.343750 1745203289.5771
MEM 10.343750 1745203289.5954
MEM 10.343750 1745203289.6136
MEM 10.343750 1745203289.6320
MEM 10.343750 1745203289.6505
MEM 10.343750 1745203289.6699
MEM 10.343750 1745203289.6879
MEM 10.343750 1745203289.7059
MEM 10.343750 1745203289.7237
MEM 10.343750 1745203289.7422
MEM 10.343750 1745203289.7608
MEM 10.343750 1745203289.7789
MEM 10.343750 1745203289.7968
MEM 10.343750 1745203289.8153
MEM 10.343750 1745203289.8329
MEM 10.343750 1745203289.8507
MEM 10.343750 1745203289.8688
MEM 10.343750 1745203289.8874
MEM 10.343750 1745203289.9043
