CMDLINE python3 python_programs/Canonical_solutions/maximum_strength_of_a_group.py
MEM 0.187500 1745203287.4246
MEM 10.546875 1745203287.4620
MEM 10.546875 1745203287.4896
MEM 10.546875 1745203287.5256
MEM 12.812500 1745203287.5548
MEM 12.812500 1745203287.5854
MEM 12.812500 1745203287.6175
MEM 12.812500 1745203287.6539
MEM 12.812500 1745203287.6932
MEM 12.812500 1745203287.7299
MEM 12.812500 1745203287.7588
MEM 12.812500 1745203287.7837
MEM 12.812500 1745203287.8134
MEM 12.812500 1745203287.8417
MEM 12.812500 1745203287.8691
MEM 12.812500 1745203287.8965
MEM 12.812500 1745203287.9262
MEM 12.812500 1745203287.9544
MEM 12.812500 1745203287.9844
MEM 12.812500 1745203288.0201
MEM 12.812500 1745203288.0588
MEM 12.812500 1745203288.0984
MEM 12.812500 1745203288.1388
MEM 12.812500 1745203288.1816
MEM 12.812500 1745203288.2252
MEM 12.812500 1745203288.2540
MEM 12.812500 1745203288.2823
MEM 12.812500 1745203288.3102
MEM 12.812500 1745203288.3381
MEM 12.812500 1745203288.3829
MEM 12.812500 1745203288.4913
MEM 12.812500 1745203288.6053
MEM 12.812500 1745203288.6316
MEM 12.812500 1745203288.6597
MEM 12.812500 1745203288.6857
MEM 12.812500 1745203288.7178
MEM 12.812500 1745203288.7965
MEM 12.812500 1745203288.8884
MEM 12.812500 1745203288.9196
MEM 12.812500 1745203288.9481
MEM 12.812500 1745203288.9780
MEM 12.812500 1745203289.0033
MEM 12.812500 1745203289.0216
MEM 12.812500 1745203289.0402
MEM 12.812500 1745203289.0590
MEM 12.812500 1745203289.0773
MEM 12.812500 1745203289.0955
MEM 12.812500 1745203289.1133
MEM 12.812500 1745203289.1317
MEM 12.812500 1745203289.1508
MEM 12.812500 1745203289.1695
MEM 12.812500 1745203289.1878
MEM 12.812500 1745203289.2058
MEM 12.812500 1745203289.2235
MEM 12.812500 1745203289.2502
MEM 12.812500 1745203289.2691
MEM 12.812500 1745203289.2875
MEM 12.812500 1745203289.3044
MEM 12.812500 1745203289.3219
MEM 12.812500 1745203289.3392
MEM 12.812500 1745203289.3573
MEM 12.812500 1745203289.3749
MEM 12.812500 1745203289.3928
MEM 12.812500 1745203289.4115
MEM 12.812500 1745203289.4294
MEM 12.812500 1745203289.4474
MEM 12.812500 1745203289.4654
MEM 12.812500 1745203289.4838
MEM 12.812500 1745203289.5021
MEM 12.812500 1745203289.5206
MEM 12.812500 1745203289.5388
MEM 12.812500 1745203289.5561
MEM 12.812500 1745203289.5740
MEM 12.812500 1745203289.5914
MEM 12.812500 1745203289.6096
MEM 12.812500 1745203289.6271
MEM 12.812500 1745203289.6451
MEM 12.812500 1745203289.6624
MEM 12.812500 1745203289.6801
MEM 12.812500 1745203289.6981
MEM 12.812500 1745203289.7158
MEM 12.812500 1745203289.7338
MEM 12.812500 1745203289.7518
MEM 12.812500 1745203289.7692
MEM 12.812500 1745203289.7872
MEM 12.812500 1745203289.8050
MEM 12.812500 1745203289.8223
MEM 12.812500 1745203289.8402
MEM 12.812500 1745203289.8583
MEM 12.812500 1745203289.8763
MEM 12.812500 1745203289.8944
MEM 12.812500 1745203289.9084
MEM 12.812500 1745203289.9218
MEM 12.812500 1745203289.9339
MEM 12.812500 1745203289.9431
MEM 12.812500 1745203289.9525
MEM 12.812500 1745203289.9613
MEM 12.812500 1745203289.9702
MEM 12.812500 1745203289.9792
MEM 12.812500 1745203289.9879
MEM 12.812500 1745203289.9965
MEM 12.812500 1745203290.0049
MEM 12.812500 1745203290.0115
MEM 12.812500 1745203290.0180
MEM 12.812500 1745203290.0245
MEM 12.812500 1745203290.0311
MEM 12.812500 1745203290.0382
