CMDLINE python3 python_programs/Canonical_solutions/maximum_total_beauty_of_the_gardens.py
MEM 0.250000 1745203287.3198
MEM 10.515625 1745203287.4347
MEM 12.562500 1745203287.4909
MEM 12.562500 1745203287.5191
MEM 12.562500 1745203287.5471
MEM 12.562500 1745203287.5760
MEM 12.562500 1745203287.6183
MEM 12.562500 1745203287.6763
MEM 12.562500 1745203287.7205
MEM 12.562500 1745203287.8592
MEM 12.562500 1745203287.8862
MEM 12.562500 1745203287.9170
MEM 12.562500 1745203287.9442
MEM 12.562500 1745203287.9746
MEM 12.562500 1745203288.0789
MEM 12.562500 1745203288.1167
MEM 12.562500 1745203288.1687
MEM 12.562500 1745203288.2431
MEM 12.562500 1745203288.2660
MEM 12.562500 1745203288.2953
MEM 12.562500 1745203288.3237
MEM 12.562500 1745203288.3524
MEM 12.562500 1745203288.3958
MEM 12.562500 1745203288.4372
MEM 12.562500 1745203288.4745
MEM 12.562500 1745203288.5149
MEM 12.562500 1745203288.5499
MEM 12.562500 1745203288.5956
MEM 12.562500 1745203288.6335
MEM 12.562500 1745203288.6766
MEM 12.562500 1745203288.7160
MEM 12.562500 1745203288.7539
MEM 12.562500 1745203288.7946
MEM 12.562500 1745203288.8525
MEM 12.562500 1745203288.8948
MEM 12.562500 1745203288.9362
