CMDLINE python3 python_programs/Canonical_solutions/maximum_xor_product.py
MEM 0.250000 1745203292.1432
MEM 7.921875 1745203292.1657
MEM 10.250000 1745203292.1963
MEM 10.250000 1745203292.2215
MEM 10.250000 1745203292.2462
MEM 10.250000 1745203292.2731
MEM 10.921875 1745203292.2955
MEM 10.921875 1745203292.3180
MEM 10.921875 1745203292.3407
MEM 10.921875 1745203292.3634
MEM 10.921875 1745203292.3850
MEM 10.921875 1745203292.4055
MEM 10.921875 1745203292.4272
MEM 10.921875 1745203292.4487
MEM 10.921875 1745203292.4699
MEM 10.921875 1745203292.4914
MEM 10.921875 1745203292.5124
MEM 10.921875 1745203292.5339
MEM 10.921875 1745203292.5550
MEM 10.921875 1745203292.5756
MEM 10.921875 1745203292.5969
MEM 10.921875 1745203292.6183
MEM 10.921875 1745203292.6397
MEM 10.921875 1745203292.6609
MEM 10.921875 1745203292.6827
MEM 10.921875 1745203292.7046
MEM 10.921875 1745203292.7277
MEM 10.921875 1745203292.7489
MEM 10.921875 1745203292.7694
MEM 10.921875 1745203292.7904
MEM 10.921875 1745203292.8116
MEM 10.921875 1745203292.8331
MEM 10.921875 1745203292.8533
MEM 10.921875 1745203292.8739
MEM 10.921875 1745203292.8952
MEM 10.921875 1745203292.9162
MEM 10.921875 1745203292.9371
MEM 10.921875 1745203292.9577
MEM 10.921875 1745203292.9787
MEM 10.921875 1745203292.9988
MEM 10.921875 1745203293.0198
MEM 10.921875 1745203293.0409
MEM 10.921875 1745203293.0620
MEM 10.921875 1745203293.0830
MEM 10.921875 1745203293.1047
MEM 10.921875 1745203293.1260
MEM 10.921875 1745203293.1468
MEM 10.921875 1745203293.1679
MEM 10.921875 1745203293.1888
MEM 10.921875 1745203293.2106
MEM 10.921875 1745203293.2311
MEM 10.921875 1745203293.2518
MEM 10.921875 1745203293.2719
MEM 10.921875 1745203293.2968
MEM 10.921875 1745203293.3174
MEM 10.921875 1745203293.3382
MEM 10.921875 1745203293.3590
MEM 10.921875 1745203293.3790
MEM 10.921875 1745203293.4001
MEM 10.921875 1745203293.4204
MEM 10.921875 1745203293.4418
MEM 10.921875 1745203293.4629
MEM 10.921875 1745203293.4846
MEM 10.921875 1745203293.5059
MEM 10.921875 1745203293.5268
MEM 10.921875 1745203293.5479
MEM 10.921875 1745203293.5694
MEM 10.921875 1745203293.5904
MEM 10.921875 1745203293.6118
MEM 10.921875 1745203293.6334
MEM 10.921875 1745203293.6556
MEM 10.921875 1745203293.6767
MEM 10.921875 1745203293.6984
MEM 10.921875 1745203293.7203
MEM 10.921875 1745203293.7422
MEM 10.921875 1745203293.7640
MEM 10.921875 1745203293.7828
MEM 10.921875 1745203293.8014
MEM 10.921875 1745203293.8186
MEM 10.921875 1745203293.8298
MEM 10.921875 1745203293.8408
MEM 10.921875 1745203293.8532
MEM 10.921875 1745203293.8654
MEM 10.921875 1745203293.8756
MEM 10.921875 1745203293.8856
MEM 10.921875 1745203293.8957
MEM 10.921875 1745203293.9058
MEM 10.921875 1745203293.9159
MEM 10.921875 1745203293.9264
MEM 10.921875 1745203293.9366
MEM 10.921875 1745203293.9467
MEM 10.921875 1745203293.9569
MEM 10.921875 1745203293.9671
MEM 10.921875 1745203293.9773
MEM 10.921875 1745203293.9874
MEM 10.921875 1745203293.9976
MEM 10.921875 1745203294.0078
MEM 10.921875 1745203294.0179
MEM 10.921875 1745203294.0286
MEM 10.921875 1745203294.0388
MEM 10.921875 1745203294.0490
MEM 10.921875 1745203294.0592
MEM 10.921875 1745203294.0695
MEM 10.921875 1745203294.0797
MEM 10.921875 1745203294.0898
MEM 10.921875 1745203294.1001
MEM 10.921875 1745203294.1103
MEM 10.921875 1745203294.1204
MEM 10.921875 1745203294.1306
MEM 10.921875 1745203294.1408
MEM 10.921875 1745203294.1510
MEM 10.921875 1745203294.1613
MEM 10.921875 1745203294.1714
MEM 10.921875 1745203294.1816
MEM 10.921875 1745203294.1918
MEM 10.921875 1745203294.2020
MEM 10.921875 1745203294.2122
MEM 10.921875 1745203294.2224
MEM 10.921875 1745203294.2327
MEM 10.921875 1745203294.2429
MEM 10.921875 1745203294.2532
MEM 10.921875 1745203294.2634
MEM 10.921875 1745203294.2736
MEM 10.921875 1745203294.2838
MEM 10.921875 1745203294.2939
MEM 10.921875 1745203294.3041
MEM 10.921875 1745203294.3142
MEM 10.921875 1745203294.3246
MEM 10.921875 1745203294.3349
MEM 10.921875 1745203294.3452
MEM 10.921875 1745203294.3556
MEM 10.921875 1745203294.3658
MEM 10.921875 1745203294.3761
MEM 10.921875 1745203294.3863
MEM 10.921875 1745203294.3966
MEM 10.921875 1745203294.4068
MEM 10.921875 1745203294.4170
MEM 10.921875 1745203294.4273
MEM 10.921875 1745203294.4375
MEM 10.921875 1745203294.4477
MEM 10.921875 1745203294.4578
MEM 10.921875 1745203294.4680
MEM 10.921875 1745203294.4781
MEM 10.921875 1745203294.4883
MEM 10.921875 1745203294.4985
MEM 10.921875 1745203294.5087
MEM 10.921875 1745203294.5189
MEM 10.921875 1745203294.5293
MEM 10.921875 1745203294.5396
MEM 10.921875 1745203294.5498
MEM 10.921875 1745203294.5600
MEM 10.921875 1745203294.5701
MEM 10.921875 1745203294.5803
MEM 10.921875 1745203294.5904
MEM 10.921875 1745203294.6006
MEM 10.921875 1745203294.6107
MEM 10.921875 1745203294.6209
MEM 10.921875 1745203294.6315
MEM 10.921875 1745203294.6417
MEM 10.921875 1745203294.6518
MEM 10.921875 1745203294.6620
MEM 10.921875 1745203294.6722
MEM 10.921875 1745203294.6824
MEM 10.921875 1745203294.6926
MEM 10.921875 1745203294.7028
MEM 10.921875 1745203294.7130
MEM 10.921875 1745203294.7231
MEM 10.921875 1745203294.7336
MEM 10.921875 1745203294.7438
MEM 10.921875 1745203294.7541
MEM 10.921875 1745203294.7643
MEM 10.921875 1745203294.7745
MEM 10.921875 1745203294.7849
