CMDLINE python3 python_programs/Canonical_solutions/minimum_cost_to_make_array_equal.py
MEM 0.250000 1745203292.1244
MEM 7.078125 1745203292.1329
MEM 10.562500 1745203292.1435
MEM 10.562500 1745203292.1574
MEM 10.562500 1745203292.1869
MEM 10.562500 1745203292.2130
MEM 10.562500 1745203292.2374
MEM 10.562500 1745203292.2643
MEM 11.218750 1745203292.2909
MEM 11.218750 1745203292.3148
MEM 11.218750 1745203292.3377
MEM 11.218750 1745203292.3597
MEM 11.218750 1745203292.3804
MEM 11.218750 1745203292.4007
MEM 11.218750 1745203292.4217
MEM 11.218750 1745203292.4421
MEM 11.218750 1745203292.4630
MEM 11.218750 1745203292.4837
MEM 11.218750 1745203292.5044
MEM 11.218750 1745203292.5254
MEM 11.218750 1745203292.5465
MEM 11.218750 1745203292.5673
MEM 11.218750 1745203292.5882
MEM 11.218750 1745203292.6094
MEM 11.218750 1745203292.6306
MEM 11.218750 1745203292.6512
MEM 11.218750 1745203292.6720
MEM 11.218750 1745203292.6933
MEM 11.218750 1745203292.7139
MEM 11.218750 1745203292.7350
MEM 11.218750 1745203292.7560
MEM 11.218750 1745203292.7770
MEM 11.218750 1745203292.7986
MEM 11.218750 1745203292.8196
MEM 11.218750 1745203292.8408
MEM 11.218750 1745203292.8620
MEM 11.218750 1745203292.8839
MEM 11.218750 1745203292.9055
MEM 11.218750 1745203292.9260
MEM 11.218750 1745203292.9476
MEM 11.218750 1745203292.9689
MEM 11.218750 1745203292.9896
MEM 11.218750 1745203293.0167
MEM 11.218750 1745203293.0377
MEM 11.218750 1745203293.0585
MEM 11.218750 1745203293.0798
MEM 11.218750 1745203293.1008
MEM 11.218750 1745203293.1213
MEM 11.218750 1745203293.1418
MEM 11.218750 1745203293.1627
MEM 11.218750 1745203293.1838
MEM 11.218750 1745203293.2052
MEM 11.218750 1745203293.2257
MEM 11.218750 1745203293.2470
MEM 11.218750 1745203293.2681
MEM 11.218750 1745203293.2875
MEM 11.218750 1745203293.3092
MEM 11.218750 1745203293.3308
MEM 11.218750 1745203293.3526
MEM 11.218750 1745203293.3742
MEM 11.218750 1745203293.3955
MEM 11.218750 1745203293.4173
MEM 11.218750 1745203293.4387
MEM 11.218750 1745203293.4619
MEM 11.218750 1745203293.4831
MEM 11.218750 1745203293.5048
MEM 11.218750 1745203293.5259
MEM 11.218750 1745203293.5477
MEM 11.218750 1745203293.5690
MEM 11.218750 1745203293.5903
MEM 11.218750 1745203293.6118
MEM 11.218750 1745203293.6336
MEM 11.218750 1745203293.6550
MEM 11.218750 1745203293.6764
MEM 11.218750 1745203293.6981
MEM 11.218750 1745203293.7204
MEM 11.218750 1745203293.7412
MEM 11.218750 1745203293.7637
