CMDLINE python3 python_programs/Canonical_solutions/minimum_number_of_arrows_to_burst_balloons.py
MEM 0.234375 1745203287.3620
MEM 28.125000 1745203287.3889
MEM 28.125000 1745203287.4192
MEM 28.125000 1745203287.4493
MEM 28.125000 1745203287.4875
MEM 29.562500 1745203287.5693
MEM 29.562500 1745203287.6307
MEM 29.562500 1745203287.6632
MEM 29.562500 1745203287.7003
MEM 29.562500 1745203287.7383
MEM 29.562500 1745203287.7676
MEM 29.562500 1745203287.7982
MEM 29.562500 1745203287.8286
MEM 29.562500 1745203287.8775
MEM 29.562500 1745203287.9549
MEM 29.562500 1745203287.9941
MEM 29.562500 1745203288.0226
MEM 29.562500 1745203288.0506
MEM 29.562500 1745203288.0804
MEM 29.562500 1745203288.1330
MEM 29.562500 1745203288.2059
MEM 29.562500 1745203288.2469
MEM 29.562500 1745203288.2736
MEM 29.562500 1745203288.3536
MEM 29.562500 1745203288.3973
MEM 29.562500 1745203288.4296
MEM 29.562500 1745203288.4823
MEM 29.562500 1745203288.5134
MEM 29.562500 1745203288.5431
MEM 29.562500 1745203288.5719
MEM 29.562500 1745203288.6000
MEM 29.562500 1745203288.7026
MEM 29.562500 1745203288.7451
MEM 29.562500 1745203288.7784
MEM 29.562500 1745203288.8127
MEM 29.562500 1745203288.8432
MEM 29.562500 1745203288.8771
MEM 29.562500 1745203288.9107
MEM 29.562500 1745203288.9366
MEM 29.562500 1745203288.9587
MEM 29.562500 1745203288.9822
MEM 29.562500 1745203289.0012
MEM 29.562500 1745203289.0178
MEM 29.562500 1745203289.0371
MEM 29.562500 1745203289.0546
MEM 29.562500 1745203289.0725
MEM 29.562500 1745203289.0906
MEM 29.562500 1745203289.1083
MEM 29.562500 1745203289.1263
MEM 29.562500 1745203289.1442
MEM 29.562500 1745203289.1620
MEM 29.562500 1745203289.1808
MEM 29.562500 1745203289.1990
MEM 29.562500 1745203289.2173
MEM 29.562500 1745203289.2391
MEM 29.562500 1745203289.2594
MEM 29.562500 1745203289.2789
MEM 29.562500 1745203289.2990
MEM 29.562500 1745203289.3168
MEM 29.562500 1745203289.3340
MEM 29.562500 1745203289.3521
MEM 29.562500 1745203289.3700
MEM 29.562500 1745203289.3882
MEM 29.562500 1745203289.4055
MEM 29.562500 1745203289.4235
MEM 29.562500 1745203289.4413
MEM 29.562500 1745203289.4592
MEM 29.562500 1745203289.4774
MEM 29.562500 1745203289.4955
MEM 29.562500 1745203289.5136
MEM 29.562500 1745203289.5310
MEM 29.562500 1745203289.5490
MEM 29.562500 1745203289.5675
MEM 29.562500 1745203289.5864
MEM 29.562500 1745203289.6045
MEM 29.562500 1745203289.6226
MEM 29.562500 1745203289.6406
MEM 29.562500 1745203289.6589
MEM 29.562500 1745203289.6770
MEM 29.562500 1745203289.6949
MEM 29.562500 1745203289.7131
MEM 29.562500 1745203289.7312
MEM 29.562500 1745203289.7488
MEM 29.562500 1745203289.7661
MEM 29.562500 1745203289.7842
MEM 29.562500 1745203289.8024
MEM 29.562500 1745203289.8204
MEM 29.562500 1745203289.8384
MEM 29.562500 1745203289.8562
MEM 29.562500 1745203289.8737
MEM 29.562500 1745203289.8919
MEM 29.562500 1745203289.9074
MEM 29.562500 1745203289.9202
MEM 29.562500 1745203289.9328
MEM 29.562500 1745203289.9425
MEM 29.562500 1745203289.9522
MEM 29.562500 1745203289.9610
MEM 29.562500 1745203289.9699
MEM 29.562500 1745203289.9787
MEM 29.562500 1745203289.9874
MEM 29.562500 1745203289.9959
MEM 28.562500 1745203290.0041
