CMDLINE python3 python_programs/Canonical_solutions/minimum_operations_to_make_a_subsequence.py
MEM 8.312500 1745203287.3029
MEM 11.625000 1745203287.3315
MEM 11.625000 1745203287.3581
MEM 12.578125 1745203287.3786
MEM 13.531250 1745203287.4053
MEM 13.531250 1745203287.4310
MEM 13.531250 1745203287.4609
MEM 13.531250 1745203287.5048
MEM 13.531250 1745203287.5645
MEM 13.531250 1745203287.6098
MEM 13.531250 1745203287.6413
MEM 13.531250 1745203287.6934
MEM 13.531250 1745203287.7304
MEM 13.531250 1745203287.7699
MEM 13.531250 1745203287.8114
MEM 13.531250 1745203287.8439
MEM 13.531250 1745203287.9012
MEM 13.531250 1745203287.9605
MEM 13.531250 1745203288.0067
MEM 13.531250 1745203288.0422
MEM 13.531250 1745203288.0756
MEM 13.531250 1745203288.1129
MEM 13.531250 1745203288.1556
MEM 13.531250 1745203288.1922
MEM 13.531250 1745203288.2292
MEM 13.531250 1745203288.2937
MEM 13.531250 1745203288.3247
MEM 13.531250 1745203288.3605
MEM 13.531250 1745203288.3959
MEM 13.531250 1745203288.4347
MEM 13.531250 1745203288.4783
MEM 13.531250 1745203288.5230
MEM 13.531250 1745203288.5635
MEM 13.531250 1745203288.5982
MEM 13.531250 1745203288.6301
MEM 13.531250 1745203288.6669
MEM 13.531250 1745203288.7018
MEM 13.531250 1745203288.7376
MEM 13.531250 1745203288.7708
MEM 13.531250 1745203288.8006
MEM 13.531250 1745203288.8338
MEM 13.531250 1745203288.8668
MEM 13.531250 1745203288.9175
