CMDLINE python3 python_programs/Canonical_solutions/minimum_operations_to_make_the_array_alternating.py
MEM 0.234375 1745203292.1700
MEM 8.343750 1745203292.1946
MEM 11.015625 1745203292.2197
MEM 11.015625 1745203292.2447
MEM 11.015625 1745203292.2703
MEM 11.015625 1745203292.2949
MEM 11.406250 1745203292.3186
MEM 11.406250 1745203292.3417
MEM 11.406250 1745203292.3632
MEM 11.406250 1745203292.3844
MEM 11.406250 1745203292.4064
MEM 11.406250 1745203292.4273
MEM 11.406250 1745203292.4489
MEM 11.406250 1745203292.4699
MEM 11.406250 1745203292.4915
MEM 11.406250 1745203292.5129
MEM 11.406250 1745203292.5343
MEM 11.406250 1745203292.5553
MEM 11.406250 1745203292.5759
MEM 11.406250 1745203292.5965
MEM 11.406250 1745203292.6177
MEM 11.406250 1745203292.6389
MEM 11.406250 1745203292.6603
MEM 11.406250 1745203292.6813
MEM 11.406250 1745203292.7028
MEM 11.406250 1745203292.7234
MEM 11.406250 1745203292.7439
MEM 11.406250 1745203292.7645
MEM 11.406250 1745203292.7853
MEM 11.406250 1745203292.8066
MEM 11.406250 1745203292.8275
MEM 11.406250 1745203292.8485
MEM 11.406250 1745203292.8696
MEM 11.406250 1745203292.8901
MEM 11.406250 1745203292.9112
MEM 11.406250 1745203292.9325
MEM 11.406250 1745203292.9530
MEM 11.406250 1745203292.9737
MEM 11.406250 1745203292.9947
MEM 11.406250 1745203293.0156
MEM 11.406250 1745203293.0363
MEM 11.406250 1745203293.0570
MEM 11.406250 1745203293.0781
MEM 11.406250 1745203293.0991
MEM 11.406250 1745203293.1199
MEM 11.406250 1745203293.1409
MEM 11.406250 1745203293.1623
MEM 11.406250 1745203293.1837
MEM 11.406250 1745203293.2055
MEM 11.406250 1745203293.2257
MEM 11.406250 1745203293.2467
MEM 11.406250 1745203293.2671
MEM 11.406250 1745203293.2859
MEM 11.406250 1745203293.3081
MEM 11.406250 1745203293.3295
MEM 11.406250 1745203293.3514
MEM 11.406250 1745203293.3737
MEM 11.406250 1745203293.3950
MEM 11.406250 1745203293.4166
MEM 11.406250 1745203293.4379
MEM 11.406250 1745203293.4590
MEM 11.406250 1745203293.4796
MEM 11.406250 1745203293.5003
MEM 11.406250 1745203293.5218
MEM 11.406250 1745203293.5427
MEM 11.406250 1745203293.5632
MEM 11.406250 1745203293.5840
MEM 11.406250 1745203293.6046
MEM 11.406250 1745203293.6237
MEM 11.406250 1745203293.6444
MEM 11.406250 1745203293.6650
MEM 11.406250 1745203293.6856
MEM 11.406250 1745203293.7056
MEM 11.406250 1745203293.7266
MEM 11.406250 1745203293.7480
MEM 11.406250 1745203293.7681
MEM 11.406250 1745203293.7873
MEM 11.406250 1745203293.8064
MEM 11.406250 1745203293.8216
MEM 11.406250 1745203293.8349
MEM 11.406250 1745203293.8471
MEM 11.406250 1745203293.8600
MEM 11.406250 1745203293.8713
MEM 11.406250 1745203293.8817
MEM 11.406250 1745203293.8920
MEM 11.406250 1745203293.9023
MEM 11.406250 1745203293.9126
MEM 11.406250 1745203293.9231
MEM 11.406250 1745203293.9335
MEM 11.406250 1745203293.9438
MEM 11.406250 1745203293.9540
MEM 11.406250 1745203293.9642
MEM 11.406250 1745203293.9743
MEM 11.406250 1745203293.9845
MEM 11.406250 1745203293.9949
MEM 11.406250 1745203294.0051
MEM 11.406250 1745203294.0152
MEM 11.406250 1745203294.0257
MEM 11.406250 1745203294.0358
MEM 11.406250 1745203294.0460
MEM 11.406250 1745203294.0562
MEM 11.406250 1745203294.0664
MEM 11.406250 1745203294.0765
MEM 11.406250 1745203294.0866
MEM 11.406250 1745203294.0968
MEM 11.406250 1745203294.1069
MEM 11.406250 1745203294.1170
MEM 11.406250 1745203294.1274
MEM 11.406250 1745203294.1375
MEM 11.406250 1745203294.1476
MEM 11.406250 1745203294.1577
MEM 11.406250 1745203294.1679
MEM 11.406250 1745203294.1780
MEM 11.406250 1745203294.1882
MEM 11.406250 1745203294.1984
MEM 11.406250 1745203294.2086
MEM 11.406250 1745203294.2187
MEM 11.406250 1745203294.2291
MEM 11.406250 1745203294.2392
MEM 11.406250 1745203294.2494
MEM 11.406250 1745203294.2596
MEM 11.406250 1745203294.2698
MEM 11.406250 1745203294.2800
MEM 11.406250 1745203294.2902
MEM 11.406250 1745203294.3004
MEM 11.406250 1745203294.3106
MEM 11.406250 1745203294.3208
MEM 11.406250 1745203294.3311
MEM 11.406250 1745203294.3413
MEM 11.406250 1745203294.3512
MEM 11.406250 1745203294.3613
MEM 11.406250 1745203294.3714
MEM 11.406250 1745203294.3815
MEM 11.406250 1745203294.3916
MEM 11.406250 1745203294.4018
MEM 11.406250 1745203294.4120
MEM 11.406250 1745203294.4221
MEM 11.406250 1745203294.4325
MEM 11.406250 1745203294.4426
MEM 11.406250 1745203294.4528
MEM 11.406250 1745203294.4630
MEM 11.406250 1745203294.4732
MEM 11.406250 1745203294.4834
MEM 11.406250 1745203294.4936
MEM 11.406250 1745203294.5038
MEM 11.406250 1745203294.5141
MEM 11.406250 1745203294.5243
MEM 11.406250 1745203294.5347
MEM 11.406250 1745203294.5449
MEM 11.406250 1745203294.5552
MEM 11.406250 1745203294.5654
MEM 11.406250 1745203294.5756
MEM 11.406250 1745203294.5858
MEM 11.406250 1745203294.5960
MEM 11.406250 1745203294.6062
MEM 11.406250 1745203294.6163
MEM 11.406250 1745203294.6265
MEM 11.406250 1745203294.6370
MEM 11.406250 1745203294.6472
MEM 11.406250 1745203294.6574
MEM 11.406250 1745203294.6676
MEM 11.406250 1745203294.6779
MEM 11.406250 1745203294.6880
MEM 11.406250 1745203294.6982
MEM 11.406250 1745203294.7084
MEM 11.406250 1745203294.7186
MEM 11.406250 1745203294.7289
MEM 11.406250 1745203294.7396
MEM 11.406250 1745203294.7498
MEM 11.406250 1745203294.7601
MEM 11.406250 1745203294.7703
MEM 11.406250 1745203294.7805
MEM 11.406250 1745203294.7896
MEM 11.406250 1745203294.7975
MEM 11.406250 1745203294.8047
MEM 11.406250 1745203294.8101
MEM 11.406250 1745203294.8154
MEM 11.406250 1745203294.8220
