CMDLINE python3 python_programs/Canonical_solutions/minimum_replacements_to_sort_the_array.py
MEM 2.593750 1745203287.4021
MEM 10.187500 1745203287.4474
MEM 10.187500 1745203287.4821
MEM 12.015625 1745203287.5206
MEM 12.015625 1745203287.5513
MEM 12.015625 1745203287.5837
MEM 12.015625 1745203287.6550
MEM 12.015625 1745203287.7051
MEM 12.015625 1745203287.8280
MEM 12.015625 1745203287.8707
MEM 12.015625 1745203287.8986
MEM 12.015625 1745203287.9278
MEM 12.015625 1745203287.9553
MEM 12.015625 1745203288.0142
MEM 12.015625 1745203288.1045
MEM 12.015625 1745203288.1338
MEM 12.015625 1745203288.1626
MEM 12.015625 1745203288.1919
MEM 12.015625 1745203288.2220
MEM 12.015625 1745203288.2800
MEM 12.015625 1745203288.3159
MEM 12.015625 1745203288.3477
MEM 12.015625 1745203288.3921
MEM 12.015625 1745203288.4341
MEM 12.015625 1745203288.4742
MEM 12.015625 1745203288.5121
MEM 12.015625 1745203288.5515
MEM 12.015625 1745203288.5953
MEM 12.015625 1745203288.6390
MEM 12.015625 1745203288.6791
MEM 12.015625 1745203288.7158
MEM 12.015625 1745203288.7502
MEM 12.015625 1745203288.7809
MEM 12.015625 1745203288.8146
MEM 12.015625 1745203288.8476
MEM 12.015625 1745203288.8826
MEM 12.015625 1745203288.9220
MEM 12.015625 1745203288.9494
MEM 12.015625 1745203288.9777
MEM 12.015625 1745203288.9962
