CMDLINE python3 python_programs/Canonical_solutions/most_profit_assigning_work.py
MEM 0.031250 1745203287.2315
MEM 9.296875 1745203287.2475
MEM 12.203125 1745203287.2700
MEM 12.203125 1745203287.2874
MEM 12.203125 1745203287.3058
MEM 12.203125 1745203287.3267
MEM 12.203125 1745203287.3481
MEM 12.265625 1745203287.4577
MEM 12.671875 1745203287.4979
MEM 12.671875 1745203287.5255
MEM 12.671875 1745203287.5557
MEM 12.671875 1745203287.5842
MEM 12.671875 1745203287.6187
MEM 12.671875 1745203287.6579
MEM 12.671875 1745203287.6913
MEM 12.671875 1745203287.7325
MEM 12.671875 1745203287.7610
MEM 12.671875 1745203287.7864
MEM 12.671875 1745203287.8170
MEM 12.671875 1745203287.8928
MEM 12.671875 1745203287.9868
MEM 12.671875 1745203288.0159
MEM 12.671875 1745203288.0447
MEM 12.671875 1745203288.0735
MEM 12.671875 1745203288.1017
MEM 12.671875 1745203288.1383
MEM 12.671875 1745203288.1724
MEM 12.671875 1745203288.2206
MEM 12.671875 1745203288.2709
MEM 12.671875 1745203288.3210
MEM 12.671875 1745203288.3752
MEM 12.671875 1745203288.4099
MEM 12.671875 1745203288.4556
MEM 12.671875 1745203288.4900
MEM 12.671875 1745203288.5187
MEM 12.671875 1745203288.5488
MEM 12.671875 1745203288.5771
MEM 12.671875 1745203288.6399
MEM 12.671875 1745203288.7306
MEM 12.671875 1745203288.7593
MEM 12.671875 1745203288.7907
MEM 12.671875 1745203288.8219
MEM 12.671875 1745203288.8531
MEM 12.671875 1745203288.8903
MEM 12.671875 1745203288.9210
MEM 12.671875 1745203288.9584
MEM 12.671875 1745203288.9829
MEM 12.671875 1745203289.0023
MEM 12.671875 1745203289.0232
MEM 12.671875 1745203289.0409
MEM 12.671875 1745203289.0595
MEM 12.671875 1745203289.0779
MEM 12.671875 1745203289.0962
MEM 12.671875 1745203289.1148
MEM 12.671875 1745203289.1325
MEM 12.671875 1745203289.1502
MEM 12.671875 1745203289.1684
MEM 12.671875 1745203289.1860
MEM 12.671875 1745203289.2034
MEM 12.671875 1745203289.2206
MEM 12.671875 1745203289.2478
MEM 12.671875 1745203289.2659
MEM 12.671875 1745203289.2843
MEM 12.671875 1745203289.3024
MEM 12.671875 1745203289.3203
MEM 12.671875 1745203289.3391
MEM 12.671875 1745203289.3574
MEM 12.671875 1745203289.3761
MEM 12.671875 1745203289.3940
MEM 12.671875 1745203289.4113
MEM 12.671875 1745203289.4292
MEM 12.671875 1745203289.4474
MEM 12.671875 1745203289.4657
MEM 12.671875 1745203289.4835
MEM 12.671875 1745203289.5019
MEM 12.671875 1745203289.5197
MEM 12.671875 1745203289.5373
MEM 12.671875 1745203289.5547
MEM 12.671875 1745203289.5723
MEM 12.671875 1745203289.5894
MEM 12.671875 1745203289.6073
MEM 12.671875 1745203289.6248
MEM 12.671875 1745203289.6425
MEM 12.671875 1745203289.6599
MEM 12.671875 1745203289.6779
MEM 12.671875 1745203289.6960
MEM 12.671875 1745203289.7140
MEM 12.671875 1745203289.7323
MEM 12.671875 1745203289.7502
MEM 12.671875 1745203289.7678
MEM 12.671875 1745203289.7859
MEM 12.671875 1745203289.8032
MEM 12.671875 1745203289.8212
MEM 12.671875 1745203289.8394
MEM 12.671875 1745203289.8573
MEM 12.671875 1745203289.8753
MEM 12.671875 1745203289.8936
