CMDLINE python3 python_programs/Canonical_solutions/smallest_range_covering_elements_from_k_lists.py
MEM 0.187500 1745203287.1999
MEM 0.234375 1745203287.2122
MEM 6.718750 1745203287.2487
MEM 12.187500 1745203287.3199
MEM 12.187500 1745203287.3561
MEM 12.875000 1745203287.3810
MEM 12.875000 1745203287.4014
MEM 12.875000 1745203287.4265
MEM 12.875000 1745203287.4561
MEM 12.875000 1745203287.5364
MEM 12.875000 1745203287.5841
MEM 12.875000 1745203287.6202
MEM 12.875000 1745203287.6533
MEM 12.875000 1745203287.7073
MEM 12.875000 1745203287.8575
MEM 12.875000 1745203287.8848
MEM 12.875000 1745203287.9133
MEM 12.875000 1745203287.9417
MEM 12.875000 1745203287.9712
MEM 12.875000 1745203288.0645
MEM 12.875000 1745203288.1214
MEM 12.875000 1745203288.1489
MEM 12.875000 1745203288.1794
MEM 12.875000 1745203288.2090
MEM 12.875000 1745203288.2464
MEM 12.875000 1745203288.2943
MEM 12.875000 1745203288.3269
MEM 12.875000 1745203288.3619
MEM 12.875000 1745203288.3988
MEM 12.875000 1745203288.4373
MEM 12.875000 1745203288.4854
MEM 12.875000 1745203288.5285
MEM 12.875000 1745203288.5959
MEM 12.875000 1745203288.6256
MEM 12.875000 1745203288.6555
MEM 12.875000 1745203288.6826
MEM 12.875000 1745203288.7171
MEM 12.875000 1745203288.7524
MEM 12.875000 1745203288.7816
MEM 12.875000 1745203288.8093
MEM 12.875000 1745203288.8457
MEM 12.875000 1745203288.8872
