CMDLINE python3 python_programs/Canonical_solutions/smallest_subsequence_of_distinct_characters.py
MEM 0.203125 1745203287.2999
MEM 8.828125 1745203287.3178
MEM 9.640625 1745203287.3381
MEM 9.640625 1745203287.3807
MEM 9.640625 1745203287.4783
MEM 9.640625 1745203287.5073
MEM 9.640625 1745203287.5344
MEM 9.640625 1745203287.5638
MEM 9.640625 1745203287.5921
MEM 9.640625 1745203287.6317
MEM 9.640625 1745203287.6752
MEM 9.640625 1745203287.7092
MEM 9.640625 1745203287.7401
MEM 9.640625 1745203287.7691
MEM 9.640625 1745203287.7996
MEM 9.640625 1745203287.8287
MEM 9.640625 1745203287.8562
MEM 9.640625 1745203287.8814
MEM 9.640625 1745203287.9085
MEM 9.640625 1745203287.9365
MEM 9.640625 1745203287.9655
MEM 9.640625 1745203287.9945
MEM 9.640625 1745203288.0385
MEM 9.640625 1745203288.0669
MEM 9.640625 1745203288.1122
MEM 9.640625 1745203288.1474
MEM 9.640625 1745203288.1843
MEM 9.640625 1745203288.2220
MEM 9.640625 1745203288.2742
MEM 9.640625 1745203288.3182
MEM 9.640625 1745203288.3505
MEM 9.640625 1745203288.3910
MEM 9.640625 1745203288.4345
MEM 9.640625 1745203288.4668
MEM 9.640625 1745203288.5103
MEM 9.640625 1745203288.5454
MEM 9.640625 1745203288.5984
MEM 9.640625 1745203288.6253
MEM 9.640625 1745203288.6609
MEM 9.640625 1745203288.6884
MEM 9.640625 1745203288.7173
MEM 9.640625 1745203288.8289
MEM 9.640625 1745203288.8863
MEM 9.640625 1745203288.9149
MEM 9.640625 1745203288.9469
MEM 9.640625 1745203288.9844
MEM 9.640625 1745203289.0061
MEM 9.640625 1745203289.0276
MEM 9.640625 1745203289.0526
MEM 9.640625 1745203289.0713
MEM 9.640625 1745203289.0899
MEM 9.640625 1745203289.1077
MEM 9.640625 1745203289.1257
MEM 9.640625 1745203289.1449
MEM 9.640625 1745203289.1627
MEM 9.640625 1745203289.1809
MEM 9.640625 1745203289.1996
MEM 9.640625 1745203289.2177
MEM 9.640625 1745203289.2437
MEM 9.640625 1745203289.2621
MEM 9.640625 1745203289.2810
MEM 9.640625 1745203289.2988
MEM 9.640625 1745203289.3171
MEM 9.640625 1745203289.3335
MEM 9.640625 1745203289.3517
MEM 9.640625 1745203289.3711
MEM 9.640625 1745203289.3893
MEM 9.640625 1745203289.4067
MEM 9.640625 1745203289.4244
MEM 9.640625 1745203289.4422
MEM 9.640625 1745203289.4601
MEM 9.640625 1745203289.4781
MEM 9.640625 1745203289.4962
MEM 9.640625 1745203289.5142
MEM 9.640625 1745203289.5322
MEM 9.640625 1745203289.5498
MEM 9.640625 1745203289.5679
MEM 9.640625 1745203289.5862
MEM 9.640625 1745203289.6040
MEM 9.640625 1745203289.6228
MEM 9.640625 1745203289.6410
MEM 9.640625 1745203289.6586
MEM 9.640625 1745203289.6760
MEM 9.640625 1745203289.6935
MEM 9.640625 1745203289.7111
MEM 9.640625 1745203289.7286
MEM 9.640625 1745203289.7466
MEM 9.640625 1745203289.7638
MEM 9.640625 1745203289.7821
MEM 9.640625 1745203289.8002
MEM 9.640625 1745203289.8183
MEM 9.640625 1745203289.8363
MEM 9.640625 1745203289.8537
MEM 9.640625 1745203289.8710
MEM 9.640625 1745203289.8892
MEM 9.640625 1745203289.9054
MEM 9.640625 1745203289.9176
MEM 9.640625 1745203289.9309
