CMDLINE python3 python_programs/Canonical_solutions/split_array_largest_sum.py
MEM 0.234375 1745203292.2082
MEM 10.531250 1745203292.2326
MEM 10.531250 1745203292.2571
MEM 10.531250 1745203292.2819
MEM 10.531250 1745203292.3068
MEM 11.046875 1745203292.3301
MEM 11.046875 1745203292.3523
MEM 11.046875 1745203292.3727
MEM 11.046875 1745203292.3936
MEM 11.046875 1745203292.4143
MEM 11.046875 1745203292.4350
MEM 11.046875 1745203292.4560
MEM 11.046875 1745203292.4776
MEM 11.046875 1745203292.4996
MEM 11.046875 1745203292.5208
MEM 11.046875 1745203292.5414
MEM 11.046875 1745203292.5630
MEM 11.046875 1745203292.5835
MEM 11.046875 1745203292.6047
MEM 11.046875 1745203292.6260
MEM 11.046875 1745203292.6467
MEM 11.046875 1745203292.6679
MEM 11.046875 1745203292.6884
MEM 11.046875 1745203292.7096
MEM 11.046875 1745203292.7304
MEM 11.046875 1745203292.7512
MEM 11.046875 1745203292.7727
MEM 11.046875 1745203292.7944
MEM 11.046875 1745203292.8165
MEM 11.046875 1745203292.8377
MEM 11.046875 1745203292.8590
MEM 11.046875 1745203292.8798
MEM 11.046875 1745203292.9011
MEM 11.046875 1745203292.9225
MEM 11.046875 1745203292.9433
MEM 11.046875 1745203292.9653
MEM 11.046875 1745203292.9862
MEM 11.046875 1745203293.0060
MEM 11.046875 1745203293.0274
MEM 11.046875 1745203293.0482
MEM 11.046875 1745203293.0697
MEM 11.046875 1745203293.0913
MEM 11.046875 1745203293.1129
MEM 11.046875 1745203293.1345
MEM 11.046875 1745203293.1556
MEM 11.046875 1745203293.1762
MEM 11.046875 1745203293.1974
MEM 11.046875 1745203293.2201
MEM 11.046875 1745203293.2419
MEM 11.046875 1745203293.2664
MEM 11.046875 1745203293.2866
MEM 11.046875 1745203293.3092
MEM 11.046875 1745203293.3309
MEM 11.046875 1745203293.3525
MEM 11.046875 1745203293.3743
MEM 11.046875 1745203293.3956
MEM 11.046875 1745203293.4173
MEM 11.046875 1745203293.4387
MEM 11.046875 1745203293.4609
MEM 11.046875 1745203293.4821
MEM 11.046875 1745203293.5031
MEM 11.046875 1745203293.5250
MEM 11.046875 1745203293.5470
MEM 11.046875 1745203293.5681
MEM 11.046875 1745203293.5893
MEM 11.046875 1745203293.6116
MEM 11.046875 1745203293.6328
MEM 11.046875 1745203293.6545
MEM 11.046875 1745203293.6764
MEM 11.046875 1745203293.6986
MEM 11.046875 1745203293.7207
MEM 11.046875 1745203293.7422
MEM 11.046875 1745203293.7640
MEM 11.046875 1745203293.7834
MEM 11.046875 1745203293.8026
MEM 11.046875 1745203293.8199
