CMDLINE python3 python_programs/Canonical_solutions/stamping_the_grid.py
MEM 0.187500 1745203287.2162
MEM 6.984375 1745203287.2812
MEM 14.531250 1745203287.3015
MEM 14.531250 1745203287.3299
MEM 14.531250 1745203287.3598
MEM 15.734375 1745203287.3807
MEM 15.734375 1745203287.4019
MEM 15.734375 1745203287.4311
MEM 15.734375 1745203287.4634
MEM 15.734375 1745203287.5266
MEM 15.734375 1745203287.5966
MEM 15.734375 1745203287.6318
MEM 15.734375 1745203287.6721
MEM 15.734375 1745203287.7069
MEM 15.734375 1745203287.7427
MEM 15.734375 1745203287.7784
MEM 15.734375 1745203287.8174
MEM 15.734375 1745203287.8527
MEM 15.734375 1745203287.9110
MEM 15.734375 1745203287.9785
MEM 15.734375 1745203288.0082
MEM 15.734375 1745203288.0379
MEM 15.734375 1745203288.0660
MEM 15.734375 1745203288.0955
MEM 15.734375 1745203288.1916
MEM 15.734375 1745203288.2363
MEM 15.734375 1745203288.2658
MEM 15.734375 1745203288.3045
MEM 15.734375 1745203288.3823
MEM 15.734375 1745203288.4231
MEM 15.734375 1745203288.4541
MEM 15.734375 1745203288.4885
MEM 15.734375 1745203288.5180
MEM 15.734375 1745203288.5457
MEM 15.734375 1745203288.5754
MEM 15.734375 1745203288.6292
MEM 15.734375 1745203288.7126
MEM 15.734375 1745203288.7499
MEM 15.734375 1745203288.7789
MEM 15.734375 1745203288.8130
MEM 15.734375 1745203288.8548
MEM 15.734375 1745203288.8932
