CMDLINE python3 python_programs/Canonical_solutions/super_washing_machines.py
MEM 0.250000 1745203287.3548
MEM 10.468750 1745203287.3816
MEM 10.593750 1745203287.4040
MEM 12.687500 1745203287.4310
MEM 12.687500 1745203287.4625
MEM 12.687500 1745203287.5425
MEM 12.687500 1745203287.5903
MEM 12.687500 1745203287.6304
MEM 12.687500 1745203287.6683
MEM 12.687500 1745203287.7056
MEM 12.687500 1745203287.7405
MEM 12.687500 1745203287.7707
MEM 12.687500 1745203287.8019
MEM 12.687500 1745203287.8335
MEM 12.687500 1745203287.9013
MEM 12.687500 1745203287.9386
MEM 12.687500 1745203287.9852
MEM 12.687500 1745203288.0207
MEM 12.687500 1745203288.0531
MEM 12.687500 1745203288.0929
MEM 12.687500 1745203288.1385
MEM 12.687500 1745203288.1817
MEM 12.687500 1745203288.2231
MEM 12.687500 1745203288.2512
MEM 12.687500 1745203288.2773
MEM 12.687500 1745203288.3051
MEM 12.687500 1745203288.3330
MEM 12.687500 1745203288.3751
MEM 12.687500 1745203288.4053
MEM 12.687500 1745203288.4380
MEM 12.687500 1745203288.4770
MEM 12.687500 1745203288.6054
MEM 12.687500 1745203288.6310
MEM 12.687500 1745203288.6584
MEM 12.687500 1745203288.6865
MEM 12.687500 1745203288.7156
MEM 12.687500 1745203288.7511
MEM 12.687500 1745203288.7895
MEM 12.687500 1745203288.8271
MEM 12.687500 1745203288.8697
MEM 12.687500 1745203288.9045
