CMDLINE python3 python_programs/Canonical_solutions/the_number_of_weak_characters_in_the_game.py
MEM 0.234375 1745203292.1500
MEM 11.187500 1745203292.1795
MEM 28.000000 1745203292.2033
MEM 28.000000 1745203292.2316
MEM 28.000000 1745203292.2555
MEM 28.000000 1745203292.2795
MEM 28.875000 1745203292.3050
MEM 28.875000 1745203292.3276
MEM 28.875000 1745203292.3500
MEM 28.875000 1745203292.3713
MEM 28.875000 1745203292.3924
MEM 28.875000 1745203292.4134
MEM 28.875000 1745203292.4347
MEM 28.875000 1745203292.4558
MEM 28.875000 1745203292.4769
MEM 28.875000 1745203292.4985
MEM 28.875000 1745203292.5191
MEM 28.875000 1745203292.5410
MEM 28.875000 1745203292.5626
MEM 28.875000 1745203292.5837
MEM 28.875000 1745203292.6054
MEM 28.875000 1745203292.6262
MEM 28.875000 1745203292.6471
MEM 28.875000 1745203292.6677
MEM 28.875000 1745203292.6883
MEM 28.875000 1745203292.7099
MEM 28.875000 1745203292.7309
MEM 28.875000 1745203292.7520
MEM 28.875000 1745203292.7735
MEM 28.875000 1745203292.7948
MEM 28.875000 1745203292.8157
MEM 28.875000 1745203292.8368
MEM 28.875000 1745203292.8579
MEM 28.875000 1745203292.8795
MEM 28.875000 1745203292.9012
MEM 28.875000 1745203292.9224
MEM 28.875000 1745203292.9433
MEM 28.875000 1745203292.9643
MEM 28.875000 1745203292.9854
MEM 28.875000 1745203293.0054
MEM 28.875000 1745203293.0267
MEM 28.875000 1745203293.0476
MEM 28.875000 1745203293.0700
MEM 28.875000 1745203293.0913
MEM 28.875000 1745203293.1130
MEM 28.875000 1745203293.1352
MEM 28.875000 1745203293.1566
MEM 28.875000 1745203293.1780
MEM 28.875000 1745203293.1992
MEM 28.875000 1745203293.2204
MEM 28.875000 1745203293.2417
MEM 28.875000 1745203293.2620
MEM 28.875000 1745203293.2837
MEM 28.875000 1745203293.3049
MEM 28.875000 1745203293.3255
MEM 28.875000 1745203293.3465
MEM 28.875000 1745203293.3671
MEM 28.875000 1745203293.3879
MEM 28.875000 1745203293.4089
MEM 28.875000 1745203293.4302
MEM 28.875000 1745203293.4517
MEM 28.875000 1745203293.4731
MEM 28.875000 1745203293.4946
MEM 28.875000 1745203293.5156
MEM 28.875000 1745203293.5364
MEM 28.875000 1745203293.5576
MEM 28.875000 1745203293.5784
MEM 28.875000 1745203293.5993
MEM 28.875000 1745203293.6195
MEM 28.875000 1745203293.6406
MEM 28.875000 1745203293.6614
MEM 28.875000 1745203293.6820
MEM 28.875000 1745203293.7027
MEM 28.875000 1745203293.7238
MEM 28.875000 1745203293.7445
MEM 28.875000 1745203293.7651
MEM 28.875000 1745203293.7843
MEM 28.875000 1745203293.8037
MEM 28.875000 1745203293.8212
MEM 28.875000 1745203293.8348
MEM 28.875000 1745203293.8477
MEM 28.875000 1745203293.8604
MEM 28.875000 1745203293.8721
MEM 28.875000 1745203293.8825
MEM 28.875000 1745203293.8929
MEM 28.875000 1745203293.9032
MEM 28.875000 1745203293.9136
MEM 28.875000 1745203293.9243
MEM 28.875000 1745203293.9347
MEM 28.875000 1745203293.9450
MEM 28.875000 1745203293.9552
MEM 28.875000 1745203293.9655
MEM 28.875000 1745203293.9756
MEM 28.875000 1745203293.9858
MEM 28.875000 1745203293.9961
MEM 28.875000 1745203294.0063
MEM 28.875000 1745203294.0166
MEM 28.875000 1745203294.0272
MEM 28.875000 1745203294.0374
MEM 28.875000 1745203294.0476
MEM 28.875000 1745203294.0578
MEM 28.875000 1745203294.0680
MEM 28.875000 1745203294.0782
MEM 28.875000 1745203294.0883
MEM 28.875000 1745203294.0985
MEM 28.875000 1745203294.1087
MEM 28.875000 1745203294.1188
MEM 28.875000 1745203294.1292
MEM 28.875000 1745203294.1394
MEM 28.875000 1745203294.1496
MEM 28.875000 1745203294.1598
MEM 28.875000 1745203294.1700
MEM 28.875000 1745203294.1801
MEM 28.875000 1745203294.1903
MEM 28.875000 1745203294.2006
MEM 28.875000 1745203294.2109
MEM 28.875000 1745203294.2210
MEM 28.875000 1745203294.2315
MEM 28.875000 1745203294.2417
MEM 28.875000 1745203294.2519
MEM 28.875000 1745203294.2620
MEM 28.875000 1745203294.2721
MEM 28.875000 1745203294.2823
MEM 28.875000 1745203294.2925
MEM 28.875000 1745203294.3027
MEM 28.875000 1745203294.3129
MEM 28.875000 1745203294.3230
MEM 28.875000 1745203294.3338
MEM 28.875000 1745203294.3441
MEM 28.875000 1745203294.3543
MEM 28.875000 1745203294.3644
MEM 28.875000 1745203294.3745
MEM 28.875000 1745203294.3847
MEM 28.875000 1745203294.3948
MEM 28.875000 1745203294.4049
MEM 28.875000 1745203294.4150
MEM 28.875000 1745203294.4251
MEM 28.875000 1745203294.4354
MEM 28.875000 1745203294.4456
MEM 28.875000 1745203294.4558
MEM 28.875000 1745203294.4660
MEM 28.875000 1745203294.4763
MEM 28.875000 1745203294.4865
MEM 28.875000 1745203294.4967
MEM 28.875000 1745203294.5069
MEM 28.875000 1745203294.5170
MEM 28.875000 1745203294.5276
MEM 28.875000 1745203294.5378
MEM 28.875000 1745203294.5480
MEM 28.875000 1745203294.5582
MEM 28.875000 1745203294.5684
MEM 28.875000 1745203294.5786
MEM 28.875000 1745203294.5888
MEM 28.875000 1745203294.5990
MEM 28.875000 1745203294.6092
MEM 28.875000 1745203294.6194
MEM 28.875000 1745203294.6298
MEM 28.875000 1745203294.6400
MEM 28.875000 1745203294.6502
MEM 28.875000 1745203294.6604
MEM 28.875000 1745203294.6706
MEM 28.875000 1745203294.6809
MEM 28.875000 1745203294.6911
MEM 28.875000 1745203294.7013
MEM 28.875000 1745203294.7115
MEM 28.875000 1745203294.7216
MEM 28.875000 1745203294.7321
MEM 28.875000 1745203294.7424
MEM 28.875000 1745203294.7527
MEM 28.875000 1745203294.7629
MEM 28.875000 1745203294.7731
MEM 28.875000 1745203294.7834
MEM 28.875000 1745203294.7912
MEM 28.875000 1745203294.7991
MEM 28.875000 1745203294.8062
