CMDLINE python3 python_programs/Canonical_solutions/wiggle_subsequence.py
MEM 0.203125 1745203287.4767
MEM 10.296875 1745203287.5042
MEM 11.203125 1745203287.5308
MEM 12.515625 1745203287.5606
MEM 12.515625 1745203287.5888
MEM 12.515625 1745203287.6193
MEM 12.515625 1745203287.6528
MEM 12.515625 1745203287.6920
MEM 12.515625 1745203287.7373
MEM 12.515625 1745203287.8031
MEM 12.515625 1745203287.8425
MEM 12.515625 1745203287.8769
MEM 12.515625 1745203287.9134
MEM 12.515625 1745203287.9519
MEM 12.515625 1745203287.9854
MEM 12.515625 1745203288.0458
MEM 12.515625 1745203288.0962
MEM 12.515625 1745203288.1262
MEM 12.515625 1745203288.1553
MEM 12.515625 1745203288.1849
MEM 12.515625 1745203288.2138
MEM 12.515625 1745203288.3433
MEM 12.515625 1745203288.3774
MEM 12.515625 1745203288.4153
MEM 12.515625 1745203288.4545
MEM 12.515625 1745203288.4896
MEM 12.515625 1745203288.5185
MEM 12.515625 1745203288.5485
MEM 12.515625 1745203288.5764
MEM 12.515625 1745203288.6103
MEM 12.515625 1745203288.7283
MEM 12.515625 1745203288.7599
MEM 12.515625 1745203288.7955
MEM 12.515625 1745203288.8327
MEM 12.515625 1745203288.8704
MEM 12.515625 1745203288.9126
MEM 12.515625 1745203288.9484
MEM 12.515625 1745203288.9718
MEM 12.515625 1745203288.9913
MEM 12.515625 1745203289.0096
MEM 12.515625 1745203289.0299
MEM 12.515625 1745203289.0472
MEM 12.515625 1745203289.0652
MEM 12.515625 1745203289.0832
MEM 12.515625 1745203289.1008
MEM 12.515625 1745203289.1181
MEM 12.515625 1745203289.1357
MEM 12.515625 1745203289.1537
MEM 12.515625 1745203289.1713
MEM 12.515625 1745203289.1889
MEM 12.515625 1745203289.2080
MEM 12.515625 1745203289.2262
MEM 12.515625 1745203289.2516
MEM 12.515625 1745203289.2709
MEM 12.515625 1745203289.2895
MEM 12.515625 1745203289.3076
MEM 12.515625 1745203289.3247
MEM 12.515625 1745203289.3441
MEM 12.515625 1745203289.3620
MEM 12.515625 1745203289.3800
MEM 12.515625 1745203289.3978
MEM 12.515625 1745203289.4163
MEM 12.515625 1745203289.4339
MEM 12.515625 1745203289.4515
MEM 12.515625 1745203289.4692
MEM 12.515625 1745203289.4871
MEM 12.515625 1745203289.5047
MEM 12.515625 1745203289.5228
MEM 12.515625 1745203289.5406
MEM 12.515625 1745203289.5591
MEM 12.515625 1745203289.5773
MEM 12.515625 1745203289.5954
MEM 12.515625 1745203289.6139
MEM 12.515625 1745203289.6323
MEM 12.515625 1745203289.6507
MEM 12.515625 1745203289.6688
MEM 12.515625 1745203289.6870
MEM 12.515625 1745203289.7053
MEM 12.515625 1745203289.7231
MEM 12.515625 1745203289.7407
MEM 12.515625 1745203289.7586
MEM 12.515625 1745203289.7780
MEM 12.515625 1745203289.7968
MEM 12.515625 1745203289.8149
MEM 12.515625 1745203289.8333
MEM 12.515625 1745203289.8509
MEM 12.515625 1745203289.8690
MEM 12.515625 1745203289.8870
MEM 12.515625 1745203289.9035
MEM 12.515625 1745203289.9152
MEM 12.515625 1745203289.9273
MEM 12.515625 1745203289.9364
MEM 12.515625 1745203289.9463
MEM 12.515625 1745203289.9550
MEM 12.515625 1745203289.9628
MEM 12.515625 1745203289.9712
MEM 12.515625 1745203289.9798
MEM 12.515625 1745203289.9883
MEM 12.515625 1745203289.9968
MEM 12.515625 1745203290.0051
MEM 12.515625 1745203290.0116
MEM 12.515625 1745203290.0181
MEM 12.515625 1745203290.0246
MEM 12.515625 1745203290.0312
MEM 12.515625 1745203290.0381
