CMDLINE python3 python_programs/Canonical_solutions/word_abbreviation.py
MEM 0.234375 1745203292.1729
MEM 7.750000 1745203292.1961
MEM 10.609375 1745203292.2212
MEM 10.609375 1745203292.2465
MEM 10.609375 1745203292.2720
MEM 10.609375 1745203292.2970
MEM 13.062500 1745203292.3209
MEM 13.093750 1745203292.3432
MEM 13.093750 1745203292.3652
MEM 13.093750 1745203292.3868
MEM 13.093750 1745203292.4097
MEM 13.093750 1745203292.4309
MEM 13.093750 1745203292.4522
MEM 13.093750 1745203292.4730
MEM 13.093750 1745203292.4946
MEM 13.093750 1745203292.5159
MEM 13.093750 1745203292.5362
MEM 13.093750 1745203292.5570
MEM 13.093750 1745203292.5772
MEM 13.093750 1745203292.5983
MEM 13.093750 1745203292.6191
MEM 13.093750 1745203292.6401
MEM 13.093750 1745203292.6611
MEM 13.093750 1745203292.6825
MEM 13.093750 1745203292.7043
MEM 13.093750 1745203292.7250
MEM 13.093750 1745203292.7462
MEM 13.093750 1745203292.7672
MEM 13.093750 1745203292.7877
MEM 13.093750 1745203292.8090
MEM 13.093750 1745203292.8297
MEM 13.093750 1745203292.8506
MEM 13.093750 1745203292.8724
MEM 13.093750 1745203292.8934
MEM 13.093750 1745203292.9150
MEM 13.093750 1745203292.9361
MEM 13.093750 1745203292.9567
MEM 13.093750 1745203292.9772
MEM 13.093750 1745203292.9979
MEM 13.093750 1745203293.0189
MEM 13.093750 1745203293.0410
MEM 13.093750 1745203293.0617
MEM 13.093750 1745203293.0827
MEM 13.093750 1745203293.1042
MEM 13.093750 1745203293.1253
MEM 13.093750 1745203293.1462
MEM 13.093750 1745203293.1672
MEM 13.093750 1745203293.1880
MEM 13.093750 1745203293.2095
MEM 13.093750 1745203293.2304
MEM 13.093750 1745203293.2510
MEM 13.093750 1745203293.2710
MEM 13.093750 1745203293.2931
MEM 13.093750 1745203293.3144
MEM 13.093750 1745203293.3350
MEM 13.093750 1745203293.3560
MEM 13.093750 1745203293.3766
MEM 13.093750 1745203293.3975
MEM 13.093750 1745203293.4184
MEM 13.093750 1745203293.4394
MEM 13.093750 1745203293.4615
MEM 13.093750 1745203293.4830
MEM 13.093750 1745203293.5046
MEM 13.093750 1745203293.5255
MEM 13.093750 1745203293.5468
MEM 13.093750 1745203293.5679
MEM 13.093750 1745203293.5893
MEM 13.093750 1745203293.6118
MEM 13.093750 1745203293.6330
MEM 13.093750 1745203293.6543
MEM 13.093750 1745203293.6749
MEM 13.093750 1745203293.6955
MEM 13.093750 1745203293.7166
MEM 13.093750 1745203293.7368
MEM 13.093750 1745203293.7572
MEM 13.093750 1745203293.7759
MEM 13.093750 1745203293.7942
MEM 13.093750 1745203293.8116
