CMDLINE python3 python_programs/ChatGPT/average_height_of_buildings_in_each_segment.py
MEM 0.250000 1745203302.2495
MEM 7.890625 1745203302.2658
MEM 12.312500 1745203302.2890
MEM 12.312500 1745203302.3187
MEM 12.312500 1745203302.3409
MEM 12.312500 1745203302.3637
MEM 12.312500 1745203302.3854
MEM 13.921875 1745203302.4081
MEM 13.921875 1745203302.4281
MEM 13.921875 1745203302.4491
MEM 13.921875 1745203302.4702
MEM 13.921875 1745203302.4911
MEM 13.921875 1745203302.5130
MEM 13.921875 1745203302.5344
MEM 13.921875 1745203302.5560
MEM 13.921875 1745203302.5772
MEM 13.921875 1745203302.5983
MEM 13.921875 1745203302.6196
MEM 13.921875 1745203302.6404
MEM 13.921875 1745203302.6616
MEM 13.921875 1745203302.6824
MEM 13.921875 1745203302.7030
MEM 13.921875 1745203302.7241
MEM 13.921875 1745203302.7456
MEM 13.921875 1745203302.7661
MEM 13.921875 1745203302.7861
MEM 13.921875 1745203302.8078
MEM 13.921875 1745203302.8287
MEM 13.921875 1745203302.8494
MEM 13.921875 1745203302.8706
MEM 13.921875 1745203302.8916
MEM 13.921875 1745203302.9124
MEM 13.921875 1745203302.9322
MEM 13.921875 1745203302.9541
MEM 13.921875 1745203302.9750
MEM 13.921875 1745203302.9964
MEM 13.921875 1745203303.0182
MEM 13.921875 1745203303.0396
MEM 13.921875 1745203303.0610
MEM 13.921875 1745203303.0814
MEM 13.921875 1745203303.1028
MEM 13.921875 1745203303.1234
MEM 13.921875 1745203303.1439
MEM 13.921875 1745203303.1652
MEM 13.921875 1745203303.1862
MEM 13.921875 1745203303.2070
MEM 13.921875 1745203303.2279
MEM 13.921875 1745203303.2488
MEM 13.921875 1745203303.2705
MEM 13.921875 1745203303.2904
MEM 13.921875 1745203303.3104
MEM 13.921875 1745203303.3312
MEM 13.921875 1745203303.3523
MEM 13.921875 1745203303.3727
MEM 13.921875 1745203303.3936
MEM 13.921875 1745203303.4142
MEM 13.921875 1745203303.4352
MEM 13.921875 1745203303.4570
MEM 13.921875 1745203303.4789
MEM 13.921875 1745203303.5008
MEM 13.921875 1745203303.5227
MEM 13.921875 1745203303.5444
MEM 13.921875 1745203303.5677
MEM 13.921875 1745203303.5895
MEM 13.921875 1745203303.6110
MEM 13.921875 1745203303.6319
MEM 13.921875 1745203303.6524
MEM 13.921875 1745203303.6739
MEM 13.921875 1745203303.6950
MEM 13.921875 1745203303.7168
MEM 13.921875 1745203303.7382
MEM 13.921875 1745203303.7598
MEM 13.921875 1745203303.7814
MEM 13.921875 1745203303.8030
MEM 13.921875 1745203303.8239
MEM 13.921875 1745203303.8452
MEM 13.921875 1745203303.8660
MEM 13.921875 1745203303.8873
MEM 13.921875 1745203303.9083
MEM 13.921875 1745203303.9288
MEM 13.921875 1745203303.9498
MEM 13.921875 1745203303.9710
MEM 13.921875 1745203303.9914
MEM 13.921875 1745203304.0121
MEM 13.921875 1745203304.0327
MEM 13.921875 1745203304.0532
MEM 13.921875 1745203304.0740
MEM 13.921875 1745203304.0952
MEM 13.921875 1745203304.1161
MEM 13.921875 1745203304.1373
MEM 13.921875 1745203304.1589
MEM 13.921875 1745203304.1795
MEM 13.921875 1745203304.2003
MEM 13.921875 1745203304.2211
MEM 13.921875 1745203304.2416
MEM 13.921875 1745203304.2624
MEM 13.921875 1745203304.2835
MEM 13.921875 1745203304.3041
MEM 13.921875 1745203304.3249
MEM 13.921875 1745203304.3458
MEM 13.921875 1745203304.3662
MEM 13.921875 1745203304.3878
MEM 13.921875 1745203304.4094
MEM 13.921875 1745203304.4301
MEM 13.921875 1745203304.4513
MEM 13.921875 1745203304.4724
MEM 13.921875 1745203304.4940
MEM 13.921875 1745203304.5155
MEM 13.921875 1745203304.5368
MEM 13.921875 1745203304.5578
MEM 13.921875 1745203304.5789
MEM 13.921875 1745203304.6002
MEM 13.921875 1745203304.6215
MEM 13.921875 1745203304.6430
MEM 13.921875 1745203304.6646
MEM 13.921875 1745203304.6861
MEM 13.921875 1745203304.7074
MEM 13.921875 1745203304.7287
MEM 13.921875 1745203304.7507
MEM 13.921875 1745203304.7719
MEM 13.921875 1745203304.7929
MEM 13.921875 1745203304.8141
MEM 13.921875 1745203304.8355
MEM 13.921875 1745203304.8566
MEM 13.921875 1745203304.8779
MEM 13.921875 1745203304.8968
MEM 13.921875 1745203304.9165
