CMDLINE python3 python_programs/ChatGPT/lexicographically_smallest_string_after_substring_operation.py
MEM 0.234375 1745203297.3965
MEM 9.656250 1745203297.4144
MEM 9.656250 1745203297.4407
MEM 9.656250 1745203297.4646
MEM 9.656250 1745203297.4807
MEM 10.203125 1745203297.5021
MEM 10.312500 1745203297.5583
MEM 10.312500 1745203297.5840
MEM 10.312500 1745203297.6089
MEM 10.312500 1745203297.6331
MEM 10.312500 1745203297.6595
MEM 10.312500 1745203297.6832
MEM 10.312500 1745203297.7089
MEM 10.312500 1745203297.7359
MEM 10.312500 1745203297.7632
MEM 10.312500 1745203297.7891
MEM 10.312500 1745203297.8156
MEM 10.312500 1745203297.8412
MEM 10.312500 1745203297.8673
MEM 10.312500 1745203297.8928
MEM 10.312500 1745203297.9181
MEM 10.312500 1745203297.9439
MEM 10.312500 1745203297.9702
MEM 10.312500 1745203297.9969
MEM 10.312500 1745203298.0222
MEM 10.312500 1745203298.0473
MEM 10.312500 1745203298.0739
MEM 10.312500 1745203298.0997
MEM 10.312500 1745203298.1264
MEM 10.312500 1745203298.1515
MEM 10.312500 1745203298.1771
MEM 10.312500 1745203298.2031
MEM 10.312500 1745203298.2291
MEM 10.312500 1745203298.2553
MEM 10.312500 1745203298.2790
MEM 10.312500 1745203298.3042
MEM 10.312500 1745203298.3303
MEM 10.312500 1745203298.3557
MEM 10.312500 1745203298.3813
MEM 10.312500 1745203298.4067
MEM 10.312500 1745203298.4330
MEM 10.312500 1745203298.4593
MEM 10.312500 1745203298.4862
MEM 10.312500 1745203298.5115
MEM 10.312500 1745203298.5374
MEM 10.312500 1745203298.5635
MEM 10.312500 1745203298.5890
MEM 10.312500 1745203298.6143
MEM 10.312500 1745203298.6396
MEM 10.312500 1745203298.6649
MEM 10.312500 1745203298.6918
MEM 10.312500 1745203298.7178
MEM 10.312500 1745203298.7436
MEM 10.312500 1745203298.7694
MEM 10.312500 1745203298.7954
MEM 10.312500 1745203298.8215
MEM 10.312500 1745203298.8479
MEM 10.312500 1745203298.8736
MEM 10.312500 1745203298.9005
MEM 10.312500 1745203298.9271
MEM 10.312500 1745203298.9527
MEM 10.312500 1745203298.9795
MEM 10.312500 1745203299.0051
