CMDLINE python3 python_programs/ChatGPT/maximum_total_beauty_of_the_gardens.py
MEM 4.968750 1745203297.4046
MEM 10.921875 1745203297.4189
MEM 10.921875 1745203297.4383
MEM 10.921875 1745203297.4653
MEM 10.921875 1745203297.4825
MEM 10.921875 1745203297.5023
MEM 10.921875 1745203297.5545
MEM 10.921875 1745203297.5825
MEM 10.921875 1745203297.6070
MEM 10.921875 1745203297.6319
MEM 10.921875 1745203297.6589
MEM 10.921875 1745203297.6855
MEM 10.921875 1745203297.7098
MEM 10.921875 1745203297.7354
MEM 10.921875 1745203297.7616
MEM 10.921875 1745203297.7878
MEM 10.921875 1745203297.8136
MEM 10.921875 1745203297.8394
MEM 10.921875 1745203297.8650
MEM 10.921875 1745203297.8903
MEM 10.921875 1745203297.9168
MEM 10.921875 1745203297.9423
MEM 10.921875 1745203297.9682
MEM 10.921875 1745203297.9932
MEM 10.921875 1745203298.0190
MEM 10.921875 1745203298.0445
MEM 10.921875 1745203298.0704
MEM 10.921875 1745203298.0961
MEM 10.921875 1745203298.1219
MEM 10.921875 1745203298.1472
MEM 10.921875 1745203298.1732
MEM 10.921875 1745203298.1998
MEM 10.921875 1745203298.2256
MEM 10.921875 1745203298.2508
MEM 10.921875 1745203298.2786
MEM 10.921875 1745203298.3047
MEM 10.921875 1745203298.3309
MEM 10.921875 1745203298.3573
MEM 10.921875 1745203298.3827
MEM 10.921875 1745203298.4087
MEM 10.921875 1745203298.4342
MEM 10.921875 1745203298.4597
MEM 10.921875 1745203298.4863
MEM 10.921875 1745203298.5122
MEM 10.921875 1745203298.5386
MEM 10.921875 1745203298.5645
MEM 10.921875 1745203298.5908
MEM 10.921875 1745203298.6168
MEM 10.921875 1745203298.6439
MEM 10.921875 1745203298.6736
MEM 10.921875 1745203298.6996
MEM 10.921875 1745203298.7254
MEM 10.921875 1745203298.7510
MEM 10.921875 1745203298.7775
MEM 10.921875 1745203298.8034
MEM 10.921875 1745203298.8307
MEM 10.921875 1745203298.8572
MEM 10.921875 1745203298.8834
MEM 10.921875 1745203298.9094
MEM 10.921875 1745203298.9359
MEM 10.921875 1745203298.9610
MEM 10.921875 1745203298.9868
MEM 10.921875 1745203299.0131
MEM 10.921875 1745203299.0372
MEM 10.921875 1745203299.0613
MEM 10.921875 1745203299.0831
MEM 10.921875 1745203299.1039
MEM 10.921875 1745203299.1250
MEM 10.921875 1745203299.1467
MEM 10.921875 1745203299.1682
MEM 10.921875 1745203299.1896
MEM 10.921875 1745203299.2122
MEM 10.921875 1745203299.2314
MEM 10.921875 1745203299.2500
MEM 10.921875 1745203299.2682
MEM 10.921875 1745203299.2862
MEM 10.921875 1745203299.3039
MEM 10.921875 1745203299.3217
MEM 10.921875 1745203299.3400
MEM 10.921875 1745203299.3579
MEM 10.921875 1745203299.3756
MEM 10.921875 1745203299.3941
MEM 10.921875 1745203299.4119
MEM 10.921875 1745203299.4301
MEM 10.921875 1745203299.4477
MEM 10.921875 1745203299.4654
MEM 10.921875 1745203299.4829
MEM 10.921875 1745203299.5008
MEM 10.921875 1745203299.5184
MEM 10.921875 1745203299.5361
MEM 10.921875 1745203299.5544
MEM 10.921875 1745203299.5722
MEM 10.921875 1745203299.5903
MEM 10.921875 1745203299.6081
MEM 10.921875 1745203299.6263
MEM 10.921875 1745203299.6444
MEM 10.921875 1745203299.6623
MEM 10.921875 1745203299.6798
MEM 10.921875 1745203299.6977
MEM 10.921875 1745203299.7160
MEM 10.921875 1745203299.7334
MEM 10.921875 1745203299.7510
MEM 10.921875 1745203299.7684
MEM 10.921875 1745203299.7861
MEM 10.921875 1745203299.8046
MEM 10.921875 1745203299.8229
MEM 10.921875 1745203299.8403
MEM 10.921875 1745203299.8578
MEM 10.921875 1745203299.8751
MEM 10.921875 1745203299.8928
MEM 10.921875 1745203299.9103
MEM 10.921875 1745203299.9279
MEM 10.921875 1745203299.9459
MEM 10.921875 1745203299.9632
MEM 10.921875 1745203299.9809
MEM 10.921875 1745203299.9992
MEM 10.921875 1745203300.0136
MEM 10.921875 1745203300.0255
