CMDLINE python3 python_programs/ChatGPT/minimum_cost_to_make_array_equal.py
MEM 0.187500 1745203302.2734
MEM 8.328125 1745203302.2905
MEM 11.031250 1745203302.3154
MEM 11.031250 1745203302.3397
MEM 11.031250 1745203302.3621
MEM 11.031250 1745203302.3846
MEM 11.031250 1745203302.4072
MEM 11.031250 1745203302.4295
MEM 11.031250 1745203302.4507
MEM 11.031250 1745203302.4715
MEM 11.031250 1745203302.4927
MEM 11.031250 1745203302.5139
MEM 11.031250 1745203302.5351
MEM 11.031250 1745203302.5569
MEM 11.031250 1745203302.5777
MEM 11.031250 1745203302.5993
MEM 11.031250 1745203302.6214
MEM 11.031250 1745203302.6433
MEM 11.031250 1745203302.6650
MEM 11.031250 1745203302.6870
MEM 11.031250 1745203302.7082
MEM 11.031250 1745203302.7291
MEM 11.031250 1745203302.7507
MEM 11.031250 1745203302.7708
MEM 11.031250 1745203302.7909
MEM 11.031250 1745203302.8116
MEM 11.031250 1745203302.8328
MEM 11.031250 1745203302.8542
MEM 11.031250 1745203302.8753
MEM 11.031250 1745203302.8958
MEM 11.031250 1745203302.9167
MEM 11.031250 1745203302.9370
MEM 11.031250 1745203302.9607
MEM 11.031250 1745203302.9808
MEM 11.031250 1745203303.0015
MEM 11.031250 1745203303.0219
MEM 11.031250 1745203303.0441
MEM 11.031250 1745203303.0651
MEM 11.031250 1745203303.0847
MEM 11.031250 1745203303.1054
MEM 11.031250 1745203303.1264
MEM 11.031250 1745203303.1479
MEM 11.031250 1745203303.1697
MEM 11.031250 1745203303.1907
MEM 11.031250 1745203303.2124
MEM 11.031250 1745203303.2339
MEM 11.031250 1745203303.2553
MEM 11.031250 1745203303.2767
MEM 11.031250 1745203303.2968
MEM 11.031250 1745203303.3182
MEM 11.031250 1745203303.3394
MEM 11.031250 1745203303.3600
MEM 11.031250 1745203303.3813
MEM 11.031250 1745203303.4019
MEM 11.031250 1745203303.4225
MEM 11.031250 1745203303.4435
MEM 11.031250 1745203303.4641
MEM 11.031250 1745203303.4847
MEM 11.031250 1745203303.5057
MEM 11.031250 1745203303.5266
MEM 11.031250 1745203303.5470
MEM 11.031250 1745203303.5681
MEM 11.031250 1745203303.5898
MEM 11.031250 1745203303.6126
MEM 11.031250 1745203303.6341
MEM 11.031250 1745203303.6547
MEM 11.031250 1745203303.6755
MEM 11.031250 1745203303.6958
MEM 11.031250 1745203303.7168
MEM 11.031250 1745203303.7383
MEM 11.031250 1745203303.7601
MEM 11.031250 1745203303.7816
MEM 11.031250 1745203303.8029
MEM 11.031250 1745203303.8238
MEM 11.031250 1745203303.8456
MEM 11.031250 1745203303.8670
MEM 11.031250 1745203303.8893
MEM 11.031250 1745203303.9111
MEM 11.031250 1745203303.9322
MEM 11.031250 1745203303.9537
MEM 11.031250 1745203303.9756
MEM 11.031250 1745203303.9967
MEM 11.031250 1745203304.0178
MEM 11.031250 1745203304.0396
MEM 11.031250 1745203304.0614
MEM 11.031250 1745203304.0830
MEM 11.031250 1745203304.1039
MEM 11.031250 1745203304.1253
MEM 11.031250 1745203304.1468
MEM 11.031250 1745203304.1678
MEM 11.031250 1745203304.1888
MEM 11.031250 1745203304.2103
MEM 11.031250 1745203304.2316
MEM 11.031250 1745203304.2537
MEM 11.031250 1745203304.2748
MEM 11.031250 1745203304.2963
MEM 11.031250 1745203304.3175
MEM 11.031250 1745203304.3384
MEM 11.031250 1745203304.3593
MEM 11.031250 1745203304.3805
MEM 11.031250 1745203304.4015
MEM 11.031250 1745203304.4226
MEM 11.031250 1745203304.4437
MEM 11.031250 1745203304.4650
MEM 11.031250 1745203304.4860
MEM 11.031250 1745203304.5070
MEM 11.031250 1745203304.5278
MEM 11.031250 1745203304.5485
MEM 11.031250 1745203304.5694
MEM 11.031250 1745203304.5908
MEM 11.031250 1745203304.6115
MEM 11.031250 1745203304.6323
MEM 11.031250 1745203304.6536
MEM 11.031250 1745203304.6743
MEM 11.031250 1745203304.6958
MEM 11.031250 1745203304.7164
MEM 11.031250 1745203304.7374
MEM 11.031250 1745203304.7588
MEM 11.031250 1745203304.7799
MEM 11.031250 1745203304.8018
MEM 11.031250 1745203304.8228
MEM 11.031250 1745203304.8438
MEM 11.031250 1745203304.8647
MEM 11.031250 1745203304.8852
MEM 11.031250 1745203304.9039
MEM 11.031250 1745203304.9205
