CMDLINE python3 python_programs/ChatGPT/minimum_number_of_arrows_to_burst_balloons.py
MEM 0.234375 1745203297.5007
MEM 27.593750 1745203297.5124
MEM 27.593750 1745203297.5263
MEM 27.593750 1745203297.5394
MEM 27.593750 1745203297.5566
MEM 27.593750 1745203297.5751
MEM 27.593750 1745203297.5952
MEM 29.218750 1745203297.6213
MEM 29.218750 1745203297.6472
MEM 29.218750 1745203297.6708
MEM 29.218750 1745203297.6958
MEM 29.218750 1745203297.7205
MEM 29.218750 1745203297.7455
MEM 29.218750 1745203297.7710
MEM 29.218750 1745203297.7975
MEM 29.218750 1745203297.8229
MEM 29.218750 1745203297.8484
MEM 29.218750 1745203297.8740
MEM 29.218750 1745203297.9008
MEM 29.218750 1745203297.9262
MEM 29.218750 1745203297.9523
MEM 29.218750 1745203297.9778
MEM 29.218750 1745203298.0041
MEM 29.218750 1745203298.0297
MEM 29.218750 1745203298.0550
MEM 29.218750 1745203298.0803
MEM 29.218750 1745203298.1059
MEM 29.218750 1745203298.1316
MEM 29.218750 1745203298.1585
MEM 29.218750 1745203298.1844
MEM 29.218750 1745203298.2101
MEM 29.218750 1745203298.2366
MEM 29.218750 1745203298.2624
MEM 29.218750 1745203298.2891
MEM 29.218750 1745203298.3147
MEM 29.218750 1745203298.3409
MEM 29.218750 1745203298.3672
MEM 29.218750 1745203298.3941
MEM 29.218750 1745203298.4201
MEM 29.218750 1745203298.4456
MEM 29.218750 1745203298.4709
MEM 29.218750 1745203298.4958
MEM 29.218750 1745203298.5223
MEM 29.218750 1745203298.5488
MEM 29.218750 1745203298.5745
MEM 29.218750 1745203298.6010
MEM 29.218750 1745203298.6262
MEM 29.218750 1745203298.6523
MEM 29.218750 1745203298.6777
MEM 29.218750 1745203298.7038
MEM 29.218750 1745203298.7287
MEM 29.218750 1745203298.7539
MEM 29.218750 1745203298.7799
MEM 29.218750 1745203298.8060
MEM 29.218750 1745203298.8309
MEM 29.218750 1745203298.8570
MEM 29.218750 1745203298.8838
MEM 29.218750 1745203298.9093
MEM 29.218750 1745203298.9354
MEM 29.218750 1745203298.9622
MEM 29.218750 1745203298.9886
MEM 29.218750 1745203299.0140
MEM 29.218750 1745203299.0386
MEM 29.218750 1745203299.0622
MEM 29.218750 1745203299.0851
MEM 29.218750 1745203299.1075
MEM 29.218750 1745203299.1299
MEM 29.218750 1745203299.1511
MEM 29.218750 1745203299.1725
MEM 29.218750 1745203299.1944
MEM 29.218750 1745203299.2159
MEM 29.218750 1745203299.2354
MEM 29.218750 1745203299.2541
MEM 29.218750 1745203299.2721
MEM 29.218750 1745203299.2898
MEM 29.218750 1745203299.3072
MEM 29.218750 1745203299.3249
MEM 29.218750 1745203299.3424
MEM 29.218750 1745203299.3603
MEM 29.218750 1745203299.3782
MEM 29.218750 1745203299.3962
MEM 29.218750 1745203299.4144
MEM 29.218750 1745203299.4321
MEM 29.218750 1745203299.4502
MEM 29.218750 1745203299.4680
MEM 29.218750 1745203299.4859
MEM 29.218750 1745203299.5047
MEM 29.218750 1745203299.5225
MEM 29.218750 1745203299.5399
MEM 29.218750 1745203299.5581
MEM 29.218750 1745203299.5759
MEM 29.218750 1745203299.5947
MEM 29.218750 1745203299.6130
MEM 29.218750 1745203299.6302
MEM 29.218750 1745203299.6480
MEM 29.218750 1745203299.6657
MEM 29.218750 1745203299.6835
MEM 29.218750 1745203299.7018
MEM 29.218750 1745203299.7196
MEM 29.218750 1745203299.7377
MEM 29.218750 1745203299.7559
MEM 29.218750 1745203299.7734
MEM 29.218750 1745203299.7919
MEM 29.218750 1745203299.8095
MEM 29.218750 1745203299.8274
MEM 29.218750 1745203299.8455
MEM 29.218750 1745203299.8642
MEM 29.218750 1745203299.8816
MEM 29.218750 1745203299.9000
MEM 29.218750 1745203299.9184
MEM 29.218750 1745203299.9364
MEM 29.218750 1745203299.9537
MEM 29.218750 1745203299.9709
MEM 29.218750 1745203299.9884
MEM 29.218750 1745203300.0045
MEM 29.218750 1745203300.0170
MEM 29.218750 1745203300.0292
MEM 29.218750 1745203300.0391
MEM 29.218750 1745203300.0484
MEM 29.218750 1745203300.0570
MEM 29.218750 1745203300.0657
MEM 29.218750 1745203300.0716
MEM 29.218750 1745203300.0767
MEM 29.218750 1745203300.0819
MEM 29.218750 1745203300.0872
MEM 29.218750 1745203300.0924
MEM 29.218750 1745203300.0976
MEM 29.218750 1745203300.1028
MEM 29.218750 1745203300.1082
MEM 28.265625 1745203300.1133
