CMDLINE python3 python_programs/ChatGPT/minimum_operations_to_make_a_subsequence.py
MEM 0.203125 1745203297.4421
MEM 11.171875 1745203297.4867
MEM 11.171875 1745203297.5191
MEM 11.171875 1745203297.5389
MEM 11.171875 1745203297.5609
MEM 11.203125 1745203297.5808
MEM 11.203125 1745203297.6031
MEM 11.203125 1745203297.6313
MEM 11.203125 1745203297.6599
MEM 11.203125 1745203297.6876
MEM 11.203125 1745203297.7166
MEM 11.203125 1745203297.7448
MEM 11.203125 1745203297.7709
MEM 11.203125 1745203297.7959
MEM 11.203125 1745203297.8215
MEM 11.203125 1745203297.8477
MEM 11.203125 1745203297.8735
MEM 11.203125 1745203297.8989
MEM 11.203125 1745203297.9251
MEM 11.203125 1745203297.9517
MEM 11.203125 1745203297.9767
MEM 11.203125 1745203298.0020
MEM 11.203125 1745203298.0284
MEM 11.203125 1745203298.0549
MEM 11.203125 1745203298.0809
MEM 11.203125 1745203298.1061
MEM 11.203125 1745203298.1318
MEM 11.203125 1745203298.1587
MEM 11.203125 1745203298.1848
MEM 11.203125 1745203298.2102
MEM 11.203125 1745203298.2353
MEM 11.203125 1745203298.2618
MEM 11.203125 1745203298.2880
MEM 11.203125 1745203298.3148
MEM 11.203125 1745203298.3411
MEM 11.203125 1745203298.3664
MEM 11.203125 1745203298.3915
MEM 11.203125 1745203298.4174
MEM 11.203125 1745203298.4427
MEM 11.203125 1745203298.4683
MEM 11.203125 1745203298.4938
MEM 11.203125 1745203298.5200
MEM 11.203125 1745203298.5458
MEM 11.203125 1745203298.5721
MEM 11.203125 1745203298.5975
MEM 11.203125 1745203298.6230
MEM 11.203125 1745203298.6481
MEM 11.203125 1745203298.6740
MEM 11.203125 1745203298.6993
MEM 11.203125 1745203298.7251
MEM 11.203125 1745203298.7506
MEM 11.203125 1745203298.7773
MEM 11.203125 1745203298.8036
MEM 11.203125 1745203298.8292
MEM 11.203125 1745203298.8549
MEM 11.203125 1745203298.8809
MEM 11.203125 1745203298.9064
MEM 11.203125 1745203298.9357
MEM 11.203125 1745203298.9626
MEM 11.203125 1745203298.9890
MEM 11.203125 1745203299.0142
MEM 11.203125 1745203299.0390
MEM 11.203125 1745203299.0629
MEM 11.203125 1745203299.0853
MEM 11.203125 1745203299.1078
MEM 11.203125 1745203299.1298
MEM 11.203125 1745203299.1517
MEM 11.203125 1745203299.1725
MEM 11.203125 1745203299.1947
MEM 11.203125 1745203299.2177
MEM 11.203125 1745203299.2365
MEM 11.203125 1745203299.2557
MEM 11.203125 1745203299.2738
MEM 11.203125 1745203299.2923
MEM 11.203125 1745203299.3102
MEM 11.203125 1745203299.3281
MEM 11.203125 1745203299.3462
MEM 11.203125 1745203299.3642
MEM 11.203125 1745203299.3823
MEM 11.203125 1745203299.4001
MEM 11.203125 1745203299.4177
MEM 11.203125 1745203299.4357
MEM 11.203125 1745203299.4532
MEM 11.203125 1745203299.4713
MEM 11.203125 1745203299.4903
MEM 11.203125 1745203299.5075
MEM 11.203125 1745203299.5256
MEM 11.203125 1745203299.5428
MEM 11.203125 1745203299.5604
MEM 11.203125 1745203299.5775
MEM 11.203125 1745203299.5962
MEM 11.203125 1745203299.6143
MEM 11.203125 1745203299.6324
MEM 11.203125 1745203299.6505
MEM 11.203125 1745203299.6680
MEM 11.203125 1745203299.6856
MEM 11.203125 1745203299.7037
MEM 11.203125 1745203299.7212
MEM 11.203125 1745203299.7395
MEM 11.203125 1745203299.7578
MEM 11.203125 1745203299.7764
MEM 11.203125 1745203299.7941
MEM 11.203125 1745203299.8116
MEM 11.203125 1745203299.8298
MEM 11.203125 1745203299.8477
MEM 11.203125 1745203299.8655
MEM 11.203125 1745203299.8836
MEM 11.203125 1745203299.9021
MEM 11.203125 1745203299.9197
MEM 11.203125 1745203299.9378
MEM 11.203125 1745203299.9557
MEM 11.203125 1745203299.9752
MEM 11.203125 1745203299.9931
MEM 11.203125 1745203300.0094
MEM 11.203125 1745203300.0213
MEM 11.203125 1745203300.0315
MEM 11.203125 1745203300.0412
MEM 11.203125 1745203300.0500
MEM 11.203125 1745203300.0593
MEM 11.203125 1745203300.0687
