CMDLINE python3 python_programs/ChatGPT/most_profit_assigning_work.py
MEM 0.203125 1745203297.4372
MEM 11.609375 1745203297.4717
MEM 11.609375 1745203297.5049
MEM 11.609375 1745203297.5191
MEM 11.609375 1745203297.5310
MEM 12.484375 1745203297.5447
MEM 13.578125 1745203297.5632
MEM 13.578125 1745203297.5843
MEM 13.578125 1745203297.6075
MEM 13.578125 1745203297.6325
MEM 13.578125 1745203297.6584
MEM 13.578125 1745203297.6849
MEM 13.578125 1745203297.7117
MEM 13.578125 1745203297.7364
MEM 13.578125 1745203297.7622
MEM 13.578125 1745203297.7879
MEM 13.578125 1745203297.8146
MEM 13.578125 1745203297.8408
MEM 13.578125 1745203297.8669
MEM 13.578125 1745203297.8927
MEM 13.578125 1745203297.9187
MEM 13.578125 1745203297.9446
MEM 13.578125 1745203297.9703
MEM 13.578125 1745203297.9957
MEM 13.578125 1745203298.0208
MEM 13.578125 1745203298.0466
MEM 13.578125 1745203298.0733
MEM 13.578125 1745203298.0991
MEM 13.578125 1745203298.1250
MEM 13.578125 1745203298.1502
MEM 13.578125 1745203298.1765
MEM 13.578125 1745203298.2026
MEM 13.578125 1745203298.2285
MEM 13.578125 1745203298.2549
MEM 13.578125 1745203298.2789
MEM 13.578125 1745203298.3048
MEM 13.578125 1745203298.3313
MEM 13.578125 1745203298.3575
MEM 13.578125 1745203298.3835
MEM 13.578125 1745203298.4093
MEM 13.578125 1745203298.4357
MEM 13.578125 1745203298.4615
MEM 13.578125 1745203298.4879
MEM 13.578125 1745203298.5136
MEM 13.578125 1745203298.5396
MEM 13.578125 1745203298.5660
MEM 13.578125 1745203298.5916
MEM 13.578125 1745203298.6176
MEM 13.578125 1745203298.6427
MEM 13.578125 1745203298.6671
MEM 13.578125 1745203298.6931
MEM 13.578125 1745203298.7191
MEM 13.578125 1745203298.7448
MEM 13.578125 1745203298.7700
MEM 13.578125 1745203298.7957
MEM 13.578125 1745203298.8209
MEM 13.578125 1745203298.8468
MEM 13.578125 1745203298.8727
MEM 13.578125 1745203298.8984
MEM 13.578125 1745203298.9243
MEM 13.578125 1745203298.9497
MEM 13.578125 1745203298.9759
MEM 13.578125 1745203299.0028
MEM 13.578125 1745203299.0245
MEM 13.578125 1745203299.0489
MEM 13.578125 1745203299.0728
MEM 13.578125 1745203299.0945
MEM 13.578125 1745203299.1168
MEM 13.578125 1745203299.1390
MEM 13.578125 1745203299.1606
MEM 13.578125 1745203299.1833
MEM 13.578125 1745203299.2046
MEM 13.578125 1745203299.2255
MEM 13.578125 1745203299.2452
MEM 13.578125 1745203299.2645
MEM 13.578125 1745203299.2829
MEM 13.578125 1745203299.3015
MEM 13.578125 1745203299.3198
MEM 13.578125 1745203299.3381
MEM 13.578125 1745203299.3563
MEM 13.578125 1745203299.3747
MEM 13.578125 1745203299.3932
MEM 13.578125 1745203299.4115
MEM 13.578125 1745203299.4303
MEM 13.578125 1745203299.4490
MEM 13.578125 1745203299.4674
MEM 13.578125 1745203299.4856
MEM 13.578125 1745203299.5039
MEM 13.578125 1745203299.5221
MEM 13.578125 1745203299.5396
MEM 13.578125 1745203299.5569
MEM 13.578125 1745203299.5742
MEM 13.578125 1745203299.5925
MEM 13.578125 1745203299.6100
MEM 13.578125 1745203299.6283
MEM 13.578125 1745203299.6465
MEM 13.578125 1745203299.6641
MEM 13.578125 1745203299.6821
MEM 13.578125 1745203299.7004
MEM 13.578125 1745203299.7180
MEM 13.578125 1745203299.7359
MEM 13.578125 1745203299.7538
MEM 13.578125 1745203299.7722
MEM 13.578125 1745203299.7897
MEM 13.578125 1745203299.8074
MEM 13.578125 1745203299.8251
MEM 13.578125 1745203299.8428
MEM 13.578125 1745203299.8605
MEM 13.578125 1745203299.8785
MEM 13.578125 1745203299.8964
MEM 13.578125 1745203299.9138
MEM 13.578125 1745203299.9315
MEM 13.578125 1745203299.9491
MEM 13.578125 1745203299.9664
MEM 13.578125 1745203299.9841
MEM 13.578125 1745203300.0018
MEM 13.578125 1745203300.0154
MEM 13.578125 1745203300.0292
MEM 13.578125 1745203300.0399
MEM 13.578125 1745203300.0491
MEM 13.578125 1745203300.0582
MEM 13.578125 1745203300.0677
