CMDLINE python3 python_programs/ChatGPT/wiggle_subsequence.py
MEM 0.250000 1745203297.3454
MEM 8.828125 1745203297.3613
MEM 10.406250 1745203297.3723
MEM 10.406250 1745203297.3968
MEM 10.406250 1745203297.4135
MEM 10.406250 1745203297.4367
MEM 10.406250 1745203297.4628
MEM 12.062500 1745203297.4820
MEM 12.734375 1745203297.5029
MEM 12.734375 1745203297.6022
MEM 12.734375 1745203297.6315
MEM 12.734375 1745203297.6564
MEM 12.734375 1745203297.6804
MEM 12.734375 1745203297.7052
MEM 12.734375 1745203297.7295
MEM 12.734375 1745203297.7555
MEM 12.734375 1745203297.7808
MEM 12.734375 1745203297.8063
MEM 12.734375 1745203297.8315
MEM 12.734375 1745203297.8593
MEM 12.734375 1745203297.8846
MEM 12.734375 1745203297.9107
MEM 12.734375 1745203297.9363
MEM 12.734375 1745203297.9635
MEM 12.734375 1745203297.9893
MEM 12.734375 1745203298.0158
MEM 12.734375 1745203298.0414
MEM 12.734375 1745203298.0670
MEM 12.734375 1745203298.0933
MEM 12.734375 1745203298.1188
MEM 12.734375 1745203298.1438
MEM 12.734375 1745203298.1691
MEM 12.734375 1745203298.1946
MEM 12.734375 1745203298.2206
MEM 12.734375 1745203298.2459
MEM 12.734375 1745203298.2722
MEM 12.734375 1745203298.3004
MEM 12.734375 1745203298.3262
MEM 12.734375 1745203298.3517
MEM 12.734375 1745203298.3787
MEM 12.734375 1745203298.4042
MEM 12.734375 1745203298.4287
MEM 12.734375 1745203298.4542
MEM 12.734375 1745203298.4802
MEM 12.734375 1745203298.5061
MEM 12.734375 1745203298.5316
MEM 12.734375 1745203298.5576
MEM 12.734375 1745203298.5852
MEM 12.734375 1745203298.6103
MEM 12.734375 1745203298.6367
MEM 12.734375 1745203298.6625
MEM 12.734375 1745203298.6884
MEM 12.734375 1745203298.7147
MEM 12.734375 1745203298.7417
MEM 12.734375 1745203298.7682
MEM 12.734375 1745203298.7937
MEM 12.734375 1745203298.8186
MEM 12.734375 1745203298.8445
MEM 12.734375 1745203298.8701
MEM 12.734375 1745203298.8967
MEM 12.734375 1745203298.9219
MEM 12.734375 1745203298.9475
MEM 12.734375 1745203298.9719
MEM 12.734375 1745203298.9984
MEM 12.734375 1745203299.0213
MEM 12.734375 1745203299.0450
MEM 12.734375 1745203299.0668
MEM 12.734375 1745203299.0888
MEM 12.734375 1745203299.1109
MEM 12.734375 1745203299.1343
MEM 12.734375 1745203299.1562
MEM 12.734375 1745203299.1800
MEM 12.734375 1745203299.2018
MEM 12.734375 1745203299.2242
MEM 12.734375 1745203299.2437
MEM 12.734375 1745203299.2631
MEM 12.734375 1745203299.2817
MEM 12.734375 1745203299.2996
MEM 12.734375 1745203299.3171
MEM 12.734375 1745203299.3345
MEM 12.734375 1745203299.3521
MEM 12.734375 1745203299.3698
MEM 12.734375 1745203299.3873
MEM 12.734375 1745203299.4052
MEM 12.734375 1745203299.4229
MEM 12.734375 1745203299.4407
MEM 12.734375 1745203299.4583
MEM 12.734375 1745203299.4761
MEM 12.734375 1745203299.4946
MEM 12.734375 1745203299.5125
MEM 12.734375 1745203299.5304
MEM 12.734375 1745203299.5479
MEM 12.734375 1745203299.5655
MEM 12.734375 1745203299.5856
MEM 12.734375 1745203299.6037
MEM 12.734375 1745203299.6212
MEM 12.734375 1745203299.6391
MEM 12.734375 1745203299.6563
MEM 12.734375 1745203299.6741
MEM 12.734375 1745203299.6920
MEM 12.734375 1745203299.7096
MEM 12.734375 1745203299.7274
MEM 12.734375 1745203299.7452
MEM 12.734375 1745203299.7628
MEM 12.734375 1745203299.7805
MEM 12.734375 1745203299.7989
MEM 12.734375 1745203299.8167
MEM 12.734375 1745203299.8342
MEM 12.734375 1745203299.8522
MEM 12.734375 1745203299.8696
MEM 12.734375 1745203299.8873
MEM 12.734375 1745203299.9053
MEM 12.734375 1745203299.9227
MEM 12.734375 1745203299.9407
MEM 12.734375 1745203299.9587
MEM 12.734375 1745203299.9763
MEM 12.734375 1745203299.9950
