CMDLINE python3 python_programs/ChatGPT/word_abbreviation.py
MEM 0.250000 1745203302.3156
MEM 10.671875 1745203302.3402
MEM 10.671875 1745203302.3627
MEM 10.671875 1745203302.3857
MEM 10.671875 1745203302.4086
MEM 10.671875 1745203302.4299
MEM 10.703125 1745203302.4518
MEM 10.703125 1745203302.4733
MEM 10.703125 1745203302.4942
MEM 10.703125 1745203302.5149
MEM 10.703125 1745203302.5360
MEM 10.703125 1745203302.5577
MEM 10.703125 1745203302.5787
MEM 10.703125 1745203302.5999
MEM 10.703125 1745203302.6207
MEM 10.703125 1745203302.6416
MEM 10.703125 1745203302.6628
MEM 10.703125 1745203302.6836
MEM 10.703125 1745203302.7039
MEM 10.703125 1745203302.7255
MEM 10.703125 1745203302.7465
MEM 10.703125 1745203302.7677
MEM 10.703125 1745203302.7934
MEM 10.703125 1745203302.8150
MEM 10.703125 1745203302.8365
MEM 10.703125 1745203302.8582
MEM 10.703125 1745203302.8787
MEM 10.703125 1745203302.9006
MEM 10.703125 1745203302.9221
MEM 10.703125 1745203302.9423
MEM 10.703125 1745203302.9631
MEM 10.703125 1745203302.9857
MEM 10.703125 1745203303.0066
MEM 10.703125 1745203303.0275
MEM 10.703125 1745203303.0482
MEM 10.703125 1745203303.0699
MEM 10.703125 1745203303.0905
MEM 10.703125 1745203303.1108
MEM 10.703125 1745203303.1322
MEM 10.703125 1745203303.1537
MEM 10.703125 1745203303.1750
MEM 10.703125 1745203303.1960
MEM 10.703125 1745203303.2170
MEM 10.703125 1745203303.2378
MEM 10.703125 1745203303.2592
MEM 10.703125 1745203303.2801
MEM 10.703125 1745203303.3018
MEM 10.703125 1745203303.3251
MEM 10.703125 1745203303.3465
MEM 10.703125 1745203303.3670
MEM 10.703125 1745203303.3875
MEM 10.703125 1745203303.4080
MEM 10.703125 1745203303.4289
MEM 10.703125 1745203303.4495
MEM 10.703125 1745203303.4709
MEM 10.703125 1745203303.4921
MEM 10.703125 1745203303.5127
MEM 10.703125 1745203303.5334
MEM 10.703125 1745203303.5534
MEM 10.703125 1745203303.5749
MEM 10.703125 1745203303.5969
MEM 10.703125 1745203303.6176
MEM 10.703125 1745203303.6386
MEM 10.703125 1745203303.6595
MEM 10.703125 1745203303.6804
MEM 10.703125 1745203303.7023
MEM 10.703125 1745203303.7222
MEM 10.703125 1745203303.7431
MEM 10.703125 1745203303.7637
MEM 10.703125 1745203303.7844
MEM 10.703125 1745203303.8050
MEM 10.703125 1745203303.8260
MEM 10.703125 1745203303.8468
MEM 10.703125 1745203303.8679
MEM 10.703125 1745203303.8895
MEM 10.703125 1745203303.9107
MEM 10.703125 1745203303.9327
MEM 10.703125 1745203303.9542
MEM 10.703125 1745203303.9759
MEM 10.703125 1745203303.9971
MEM 10.703125 1745203304.0191
MEM 10.703125 1745203304.0400
MEM 10.703125 1745203304.0608
MEM 10.703125 1745203304.0823
MEM 10.703125 1745203304.1037
MEM 10.703125 1745203304.1251
MEM 10.703125 1745203304.1459
MEM 10.703125 1745203304.1666
MEM 10.703125 1745203304.1876
MEM 10.703125 1745203304.2084
MEM 10.703125 1745203304.2294
MEM 10.703125 1745203304.2501
MEM 10.703125 1745203304.2709
MEM 10.703125 1745203304.2916
MEM 10.703125 1745203304.3124
MEM 10.703125 1745203304.3335
MEM 10.703125 1745203304.3543
MEM 10.703125 1745203304.3751
MEM 10.703125 1745203304.3963
MEM 10.703125 1745203304.4176
MEM 10.703125 1745203304.4389
MEM 10.703125 1745203304.4598
MEM 10.703125 1745203304.4808
MEM 10.703125 1745203304.5020
MEM 10.703125 1745203304.5229
MEM 10.703125 1745203304.5440
MEM 10.703125 1745203304.5656
MEM 10.703125 1745203304.5865
MEM 10.703125 1745203304.6077
MEM 10.703125 1745203304.6285
MEM 10.703125 1745203304.6495
MEM 10.703125 1745203304.6702
MEM 10.703125 1745203304.6907
MEM 10.703125 1745203304.7120
MEM 10.703125 1745203304.7330
MEM 10.703125 1745203304.7538
MEM 10.703125 1745203304.7748
MEM 10.703125 1745203304.7960
MEM 10.703125 1745203304.8170
MEM 10.703125 1745203304.8381
MEM 10.703125 1745203304.8595
MEM 10.703125 1745203304.8803
MEM 10.703125 1745203304.8984
MEM 10.703125 1745203304.9173
MEM 10.703125 1745203304.9293
MEM 10.703125 1745203304.9396
MEM 10.703125 1745203304.9496
MEM 10.703125 1745203304.9605
