CMDLINE python3 python_programs/Claude/average_height_of_buildings_in_each_segment.py
MEM 0.250000 1745203282.0862
MEM 12.140625 1745203282.1112
MEM 12.140625 1745203282.1355
MEM 12.140625 1745203282.1597
MEM 12.140625 1745203282.1848
MEM 12.515625 1745203282.2123
MEM 14.015625 1745203282.2376
MEM 14.015625 1745203282.2627
MEM 14.015625 1745203282.2883
MEM 14.015625 1745203282.3147
MEM 14.015625 1745203282.3398
MEM 14.015625 1745203282.3651
MEM 14.015625 1745203282.3901
MEM 14.015625 1745203282.4145
MEM 14.015625 1745203282.4387
MEM 14.015625 1745203282.4647
MEM 14.015625 1745203282.4900
MEM 14.015625 1745203282.5153
MEM 14.015625 1745203282.5409
MEM 14.015625 1745203282.5659
MEM 14.015625 1745203282.5902
MEM 14.015625 1745203282.6156
MEM 14.015625 1745203282.6417
MEM 14.015625 1745203282.6670
MEM 14.015625 1745203282.6922
MEM 14.015625 1745203282.7177
MEM 14.015625 1745203282.7437
MEM 14.015625 1745203282.7683
MEM 14.015625 1745203282.7930
MEM 14.015625 1745203282.8189
MEM 14.015625 1745203282.8468
MEM 14.015625 1745203282.8726
MEM 14.015625 1745203282.8989
MEM 14.015625 1745203282.9227
MEM 14.015625 1745203282.9480
MEM 14.015625 1745203282.9727
MEM 14.015625 1745203282.9982
MEM 14.015625 1745203283.0236
MEM 14.015625 1745203283.0487
MEM 14.015625 1745203283.0739
MEM 14.015625 1745203283.0989
MEM 14.015625 1745203283.1232
MEM 14.015625 1745203283.1476
MEM 14.015625 1745203283.1729
MEM 14.015625 1745203283.1965
MEM 14.015625 1745203283.2201
MEM 14.015625 1745203283.2457
MEM 14.015625 1745203283.2714
MEM 14.015625 1745203283.2989
MEM 14.015625 1745203283.3263
MEM 14.015625 1745203283.3508
MEM 14.015625 1745203283.3775
MEM 14.015625 1745203283.4006
MEM 14.015625 1745203283.4288
MEM 14.015625 1745203283.4551
MEM 14.015625 1745203283.4803
MEM 14.015625 1745203283.5058
MEM 14.015625 1745203283.5308
MEM 14.015625 1745203283.5567
MEM 14.015625 1745203283.5821
MEM 14.015625 1745203283.6067
MEM 14.015625 1745203283.6310
MEM 14.015625 1745203283.6553
MEM 14.015625 1745203283.6814
MEM 14.015625 1745203283.7049
MEM 14.015625 1745203283.7295
MEM 14.015625 1745203283.7519
MEM 14.015625 1745203283.7746
MEM 14.015625 1745203283.7950
MEM 14.015625 1745203283.8165
MEM 14.015625 1745203283.8449
MEM 14.015625 1745203283.8659
MEM 14.015625 1745203283.8879
MEM 14.015625 1745203283.9079
MEM 14.015625 1745203283.9299
MEM 14.015625 1745203283.9505
MEM 14.015625 1745203283.9712
MEM 14.015625 1745203283.9928
MEM 14.015625 1745203284.0137
MEM 14.015625 1745203284.0346
MEM 14.015625 1745203284.0576
MEM 14.015625 1745203284.0783
MEM 14.015625 1745203284.0993
MEM 14.015625 1745203284.1204
MEM 14.015625 1745203284.1412
MEM 14.015625 1745203284.1632
MEM 14.015625 1745203284.1843
MEM 14.015625 1745203284.2056
MEM 14.015625 1745203284.2264
MEM 14.015625 1745203284.2475
MEM 14.015625 1745203284.2683
MEM 14.015625 1745203284.2906
MEM 14.015625 1745203284.3130
MEM 14.015625 1745203284.3337
MEM 14.015625 1745203284.3549
MEM 14.015625 1745203284.3770
MEM 14.015625 1745203284.3989
MEM 14.015625 1745203284.4208
MEM 14.015625 1745203284.4415
MEM 14.015625 1745203284.4626
MEM 14.015625 1745203284.4847
MEM 14.015625 1745203284.5068
MEM 14.015625 1745203284.5290
MEM 14.015625 1745203284.5497
MEM 14.015625 1745203284.5698
MEM 14.015625 1745203284.5908
MEM 14.015625 1745203284.6119
MEM 14.015625 1745203284.6324
MEM 14.015625 1745203284.6533
MEM 14.015625 1745203284.6743
MEM 14.015625 1745203284.6944
MEM 14.015625 1745203284.7091
MEM 14.015625 1745203284.7295
