CMDLINE python3 python_programs/Claude/lexicographically_smallest_string_after_substring_operation.py
MEM 0.203125 1745203277.1794
MEM 9.812500 1745203277.2113
MEM 9.812500 1745203277.2411
MEM 9.812500 1745203277.2774
MEM 10.421875 1745203277.3039
MEM 10.421875 1745203277.3318
MEM 10.421875 1745203277.3800
MEM 10.421875 1745203277.4145
MEM 10.421875 1745203277.4482
MEM 10.421875 1745203277.4843
MEM 10.421875 1745203277.5296
MEM 10.421875 1745203277.5678
MEM 10.421875 1745203277.5941
MEM 10.421875 1745203277.6203
MEM 10.421875 1745203277.6476
MEM 10.421875 1745203277.6756
MEM 10.421875 1745203277.7033
MEM 10.421875 1745203277.7299
MEM 10.421875 1745203277.7567
MEM 10.421875 1745203277.7855
MEM 10.421875 1745203277.8164
MEM 10.421875 1745203277.8447
MEM 10.421875 1745203277.8721
MEM 10.421875 1745203277.8995
MEM 10.421875 1745203277.9261
MEM 10.421875 1745203277.9539
MEM 10.421875 1745203278.0108
MEM 10.421875 1745203278.0844
MEM 10.421875 1745203278.1144
MEM 10.421875 1745203278.1430
MEM 10.421875 1745203278.1713
MEM 10.421875 1745203278.1999
MEM 10.421875 1745203278.2449
MEM 10.421875 1745203278.2737
MEM 10.421875 1745203278.2990
MEM 10.421875 1745203278.3383
MEM 10.421875 1745203278.3849
MEM 10.421875 1745203278.4147
MEM 10.421875 1745203278.4433
MEM 10.421875 1745203278.4875
MEM 10.421875 1745203278.5311
MEM 10.421875 1745203278.5616
MEM 10.421875 1745203278.6008
MEM 10.421875 1745203278.6498
MEM 10.421875 1745203278.6884
MEM 10.421875 1745203278.7297
MEM 10.421875 1745203278.7611
MEM 10.421875 1745203278.8027
