CMDLINE python3 python_programs/Claude/maximum_strength_of_a_group.py
MEM 0.203125 1745203277.2369
MEM 10.281250 1745203277.2599
MEM 10.281250 1745203277.2840
MEM 10.281250 1745203277.3131
MEM 10.281250 1745203277.3407
MEM 11.156250 1745203277.3741
MEM 12.843750 1745203277.4058
MEM 12.843750 1745203277.4377
MEM 12.843750 1745203277.4734
MEM 12.843750 1745203277.5191
MEM 12.843750 1745203277.5534
MEM 12.843750 1745203277.5954
MEM 12.843750 1745203277.6324
MEM 12.843750 1745203277.6669
MEM 12.843750 1745203277.7007
MEM 12.843750 1745203277.7781
MEM 12.843750 1745203277.8408
MEM 12.843750 1745203277.8677
MEM 12.843750 1745203277.8955
MEM 12.843750 1745203277.9232
MEM 12.843750 1745203277.9515
MEM 12.843750 1745203277.9840
MEM 12.843750 1745203278.0154
MEM 12.843750 1745203278.0498
MEM 12.843750 1745203278.0834
MEM 12.843750 1745203278.1320
MEM 12.843750 1745203278.1749
MEM 12.843750 1745203278.2158
MEM 12.843750 1745203278.2574
MEM 12.843750 1745203278.2839
MEM 12.843750 1745203278.3131
MEM 12.843750 1745203278.3521
MEM 12.843750 1745203278.3959
MEM 12.843750 1745203278.4271
MEM 12.843750 1745203278.4564
MEM 12.843750 1745203278.5047
MEM 12.843750 1745203278.5511
MEM 12.843750 1745203278.5850
MEM 12.843750 1745203278.6203
MEM 12.843750 1745203278.6566
MEM 12.843750 1745203278.6951
MEM 12.843750 1745203278.7360
MEM 12.843750 1745203278.7668
MEM 12.843750 1745203278.8032
MEM 12.843750 1745203278.8361
MEM 12.843750 1745203278.8609
MEM 12.843750 1745203278.8878
MEM 12.843750 1745203278.9157
MEM 12.843750 1745203278.9432
MEM 12.843750 1745203278.9704
MEM 12.843750 1745203279.0039
MEM 12.843750 1745203279.0358
MEM 12.843750 1745203279.0662
MEM 12.843750 1745203279.0938
MEM 12.843750 1745203279.1314
